Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
88,2025_BHEL_52344_1,8,"[Supply, installation, testing, commissioning and maintenance of CCTV system for a period of 5 years on Financial Lease (Rental and Guarantee) followed by CAMC for 2 years (6th and 7th Year) basis in BHEL BAP Ranipet]",30-Aug-2025 10:00 AM,Bharat Heavy Electricals Limited||BAP - Ranipet||Purchase,04-Oct-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXeS3P8%2FKUV22XGfZEEjHhw%3D%3D
89,2025_BHEL_52297_1,8,[BHEL/CPC/ SPT/EnC_MECH/26/042],29-Aug-2025 02:00 PM,Bharat Heavy Electricals Limited||Central Procurement Cell,03-Oct-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S49Qpx64i8umgLeh19YH1ug%3D%3D
90,2025_BHEL_52262_1,8,"[Forging for Nimonic Sealing Ring, U-ring and Packing Ring ]",28-Aug-2025 03:00 PM,Bharat Heavy Electricals Limited||HEEP-Haridwar||Turbine,30-Sep-2025 01:45 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZDQS%2BadzEdF%2BFKiRsNlxZA%3D%3D
91,2025_BHEL_51087_1,9,[Tender Enquiry for entering into a Contract for Fabrication and Supply of Pressure Part Items and dispatch to respective project sites.],27-Aug-2025 11:15 AM,Bharat Heavy Electricals Limited||BHEL Trichy||OUTSOURCING/BHEL MATL,10-Oct-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVMZGHyA%2FWWf587VMjGCHiw%3D%3D
92,2025_BHEL_52207_1,9,[LORRY AS PER TENDER SPECIFICATION],26-Aug-2025 05:00 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad,30-Sep-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STxXfApyy5Jl08H5F5PEqGg%3D%3D
93,2025_BHEL_52213_1,9,[D6A1Y35339],26-Aug-2025 04:30 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad,07-Oct-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYwOujUYwWkf1DGDNcLf68Q%3D%3D
94,2025_BHEL_51766_1,9,[D/ 6580/5/0667D1],13-Aug-2025 03:15 PM,Bharat Heavy Electricals Limited||HEEP-Haridwar||Defence,04-Oct-2025 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sk1qtTvpUkUsa2d7ZUebf8g%3D%3D
95,2025_BHEL_50988_1,9,[350 Ton Aero Caster System],23-Jul-2025 06:00 PM,Bharat Heavy Electricals Limited||HEP - Bhopal||MOD||589 - Modernisation Schemes,04-Oct-2025 03:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPx9JRTgN%2FIFekGJnZi1Gbw%3D%3D
96,2025_BHEL_50889_1,9,[Supply of 400 kV and Below Ratings Bus Post Insulators for various Powergrid projects],18-Jul-2025 05:40 PM,Bharat Heavy Electricals Limited||TBG NOIDA||TBG - Material Management,04-Oct-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMh13iVxIs3VPiTODPKgtwA%3D%3D
97,2025_BHEL_50327_1,9,"[Balance Civil, Structural and Architectural works for entire Power Block Area (T-Yard to FGD up to Chimney Raft) at 1x800 MW NTPC Sipat, Chhattisgarh.]",04-Jul-2025 06:00 PM,Bharat Heavy Electricals Limited||Central Procurement Cell,07-Oct-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvAk6o9yR4mD2VcijNKfMGA%3D%3D
