Serial,Link,Error
135,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STPcRUavNsWPj5FWGWsy85Q%3D%3D,failed after 3 attempts: Forbidden domain
140,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsiBfppY2wgj%2BzYErNPixyg%3D%3D,failed after 3 attempts: Forbidden domain
144,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Srkg0fHAf4Rimz3ionMFoHg%3D%3D,failed after 3 attempts: Forbidden domain
145,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B181kAu9qzJLoWxS%2F2GzxA%3D%3D,failed after 3 attempts: Forbidden domain
147,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SC7ZH12PR3sZtdyu8MyxppA%3D%3D,failed after 3 attempts: Forbidden domain
150,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2Mar8dCtbsvKJDZmgpUpUw%3D%3D,failed after 3 attempts: Forbidden domain
152,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SG5VUo53vA2KKHFcIt8TgAg%3D%3D,failed after 3 attempts: Forbidden domain
161,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sdx8awM8ASXkxQE9KDZTbCw%3D%3D,failed after 3 attempts: Forbidden domain
167,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVk3DMO07%2BKTldUD375Wswg%3D%3D,failed after 3 attempts: Forbidden domain
174,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShCwFs0rKGNOT77x3zdwWVw%3D%3D,failed after 3 attempts: Forbidden domain
176,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNrz%2BjiSkdlsBwNJuQEaxHw%3D%3D,failed after 3 attempts: Forbidden domain
179,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPh65nrg3HItRDqFNOU9vJA%3D%3D,failed after 3 attempts: Forbidden domain
180,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdRvvoTdIc8seewiT2kkp5g%3D%3D,failed after 3 attempts: Forbidden domain
183,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLNQwcDxSsTis8%2BJhtH761A%3D%3D,failed after 3 attempts: Forbidden domain
189,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDfKMi83DhegkBRIQvO2TBg%3D%3D,failed after 3 attempts: Forbidden domain
193,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMi2LRH%2FB%2BcKJlZIQ5dIg5A%3D%3D,failed after 3 attempts: Forbidden domain
195,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SnnYbommYa6wdTyf69snSag%3D%3D,failed after 3 attempts: Forbidden domain
