Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
53,2025_COOP_19991_1,"[SHORT TERM eTENDER FOR SUPPLY OF GROCERIES, SUGAR and OIL FOR DEEPAVALI FESTIVAL 2025 FOR ALL THE REGIONS OF UNION TERRITORY OF PUDUCHERRY]",24-Sep-2025 06:30 PM,Co-Operative Department||Pondicherry State Co-op Consumers federation Ltd. P. 429,03-Oct-2025 05:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjSirrd%2F02iqsNNvnBqw7Rw%3D%3D
54,2025_DoFFW_19802_1,[Supply of Radar Reflector (IRS Approved)],10-Sep-2025 10:00 AM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,30-Sep-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBKjlaJb4lVvxHewN0eGuTQ%3D%3D
55,2025_DLA_19975_1,[Improvements to the Periatheru in Lingareddy palayam village in Mannadipet Constituency],26-Sep-2025 01:20 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDrzu7gZ90aspDwc3%2Bxf%2FdA%3D%3D
56,2025_DLA_19981_1,[Construction of Dining shed to the existing Community hall at Sellipet village],26-Sep-2025 01:45 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5SGB7Tx5NDsr8rHCL1mXUw%3D%3D
57,2025_DLA_19980_1,[Construction of U-drain at main road in Vetri Vinayagar nagar at Kalitheerthalkuppam.],26-Sep-2025 01:40 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpYYqwFQQvAtwjkSyxXES5A%3D%3D
58,2025_COOP_19630_1,"[supply of Polyethylene pouch for packing of Liquid Milk, Butter Milk  and Curd]",29-Aug-2025 09:30 AM,Co-Operative Department||PONLAIT - CO-OP,06-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUtb132M1MeivwfwLwlk21A%3D%3D
59,2025_DLA_19921_1,"[Providing BT Road and drainage  facilities at Thamirabarani Street,  Anitha Nagar in Mudaliarpet.]",26-Sep-2025 10:00 AM,Department of Local Administration||Puducherry Municipality-DLA,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxvwEWbZ62YvuGAIEUu4S3Q%3D%3D
60,2025_PWDC2_19727_1,"[Desilting, Cleaning and Maintenance of Irrigation channels in Attukaran Odai at Mutharaiyarpalayam in Thattanchavady Revenue Village, Puducherry.]",03-Sep-2025 04:00 PM,Public Works Department||CIRCLE II||IRRIGATION,09-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScnsUegofTVYsGDmsRyggxQ%3D%3D
61,2025_DLA_19985_1,"[Improvements of Nadutheru at Kodathur village, Mannadipet Constituency]",26-Sep-2025 01:00 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQvsPTfrJ4W1vnaEipFP5KA%3D%3D
62,2025_PWDC2_19996_1,"[Sub Work Renovation to the existing first floor of the SDAP building for Accommodating the Directorate of Sports and Youth Affairs in the campus of Indira Gandhi Sports Complex, Uppalam, Puducherry.]",27-Sep-2025 01:35 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpoRETiRsbkY75hhnXw4prA%3D%3D
63,2025_PWDC1_20042_1,"[Improvements to the Road and drain at Pudhu theru  Kamaraj street in Govindasalai at Orleanpet, Puducherry]",27-Sep-2025 05:00 PM,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL),07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShQX4aa6G6sAg%2FJhtISGNkw%3D%3D
