Serial Number,Title,Organisation,Closing Date,Link
18,[CONSULTANCY SERVICE FOR PRELIMINARY SITE INSPECTION FOR CONDITIONASSESSMENT STUDIES OF VARIOUS RCC STRUCTURES AT BRBCL],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ShGpGeGY311yzv6gRHnaNDg%3D%3D
19,[EOI For  Development and Installation of Ground mounted Solar PV Project  with BESS and   Floating solar PV Project at Great Nicobar Island ],NTPC Green Energy Limited||NGEL Corporate Centre,15-Sep-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S2GXZyqlZzDau00TMB41G8Q%3D%3D
20,[BIENNIAL SERVICE CONTRACT FOR HYDROGEN GENERATION PLANT AT NTPC SIPAT.],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqJJj5%2BjJE%2By%2BzJZRQdzZFw%3D%3D
21,[Three year Maintenance Contract for RTU System installed at NTPC Jhanor],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SaatKxcSY78FSHuEEkP1xZA%3D%3D
22,[Deployment of Service personnel for Amara Raja make chargers at MTPS],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ScFpT1f0XtrZfy5X66AAmMg%3D%3D
23,"[ANNUAL CONTRACT FOR DEPUTATION OF SERVICE ENGINEER FOR SUPERVISION OF ASSESMENT OF CCF EQUIPMENT OF TRIVENI MAKE IN PT PLANT OF STAGE 2,3,4,5 AT NTPC VSTPS]",NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sue%2BaBAP6%2BrEnV5C2Q8joIg%3D%3D
24,[Biennial service contract for maintenance of dozer ACs along with spares],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7pP94d%2FHPDhcgWZmB3E2%2Fw%3D%3D
25,[Overhauling of GE make Air Circuit Breakers at NTPC Dadri Coal],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sq0wr58z81%2BvSGjsH%2FRsiMw%3D%3D
26,[Third Party Monitoring of Environmental Parameters at NTPC Rihand for 02],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCKua8iFqC47rj%2B%2FrV8UPfQ%3D%3D
27,[Procurement of critical items of IFM make for Wagon Trippler Stage I II for Mouda],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7j9Ph8IXhT9xdQ88Bo9bEw%3D%3D
