Serial Number,Title,Organisation,Closing Date,Link
1,"[One Time job contract for Dismantling, fabrication and erection of fumes suction duct of EAF 5T]",MIDHANI,15-Sep-2025 11:00 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S1i%2BtWjgh2xrHeY4%2BqlHEoA%3D%3D
2,"[Providing and laying PCC for LPG yard and Hydrogen plant, MIDHANI.]",MIDHANI,11-Sep-2025 11:00 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SMJ5EJUq7Q%2B0RZUYBH2zM0g%3D%3D
3,[Waterjet Cutting of Titanium Alloy Material],MIDHANI,11-Sep-2025 11:30 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2B1nReoQ8%2FoO9Ehl4KSMeMQ%3D%3D
4,[Machining of IN100 Dies for Shakti Engine Discs Isothermal Forging],MIDHANI,11-Sep-2025 11:30 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SAG5952yDBkMmQ9JpiEU7Ng%3D%3D
5,[PROCUREMENT OF SPINDLE AND BEARING SEGMENTS],MIDHANI,11-Sep-2025 11:00 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sc8TR6KzZR5eeh%2FLoQ0xCOw%3D%3D
6,[PROCUREMENT OF LI-ION BATTERIES FOR EVIDENT MAKE VANTA MOBILE XRF],MIDHANI,11-Sep-2025 11:30 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S6u1eWhBasglo13nn6SAaJw%3D%3D
7,"[Construction of structural stair cases and walkway platforms for MS- II , CRM and MS-III, MIDHANI]",MIDHANI,25-Sep-2025 11:00 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=St7ekHdx7DRlb%2B0zXWSdZjg%3D%3D
8,[Machining of Martensitic Stainless Steel Ring],MIDHANI,15-Sep-2025 11:30 AM,https://www.eprocuremidhani.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SQ9HX4k2tSPEw0A6pr4UqrQ%3D%3D
