Serial Number,Title,Organisation,Closing Date,Link
1,[SUPPLY OF FLOW REGULATING VALVES (COOLING WATER SYSTEM) AS PER TECHNICAL REQUIREMENT/TECHNICAL SPECIFICATION/TA/SCOPE OF SUPPLY PLACED AT ANNEXURE-I.],Goa Shipyard Limited||COMMERCIAL,09-Sep-2025 03:00 PM,https://eprocuregsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SIYp%2F0uUPT76WU%2B3mhmL9Dg%3D%3D
2,[SUPPLY OF THREE WAY THERMOSTATIC VALVES  FOR TSH DREGER PROJECT AS PER TECHNICAL REQUIREMENT/TECHNICAL SPECIFICATION/TA/SCOPE OF SUPPLY PLACED AT ANNEXURE-I.],Goa Shipyard Limited||COMMERCIAL,09-Sep-2025 03:00 PM,https://eprocuregsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SIkJmQ7dIPY9MKcFgC0gB%2Bw%3D%3D
