Serial Number,Title,Organisation,Closing Date,Link
15,[Procurement of Complete Exchanger ],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",13-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ShLkbSTpSQlI2zTIMWZKiRQ%3D%3D
16,[ARC for Expert Services for Woodward make Governors at CPCL],"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",12-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ShNjreYlZzQCBuYGZyOttsA%3D%3D
17,[REFURBISH SEAL SPARES FOR RECYCLE GAS COMPRESSOR (MODIFIED-TURBINE) 77K2],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",12-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sh73o%2FkT1%2B6DeRs%2FFXRM0Vg%3D%3D
18,[Procurement of Anionic Polyelectrolyte - 8000 kg (Two year ARC)],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",22-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Smn1b6G%2B%2Ftj62shmLtLDJBg%3D%3D
19,"[Providing Information System and Drafting Services for One year at CPCL, CBR project, Nagapattinam, Tamilnadu]","CPCL,DGM(M and C)||Projects Contracts||Sr. Mgr cum Mgr.,Projects Contracts||Sr. Officer cum Er.,Projects Contracts",22-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SlxefPRwLYJlIZl8VOY1C5g%3D%3D
20,"[PROCUREMENT OF RGC and ITS DRIVE TURBINE SPARES OF OHCU and DHDT (207K01, 211TUR02 and 211K02) OF M/s BHEL MAKE AT REF-III OF CPCL, MANALI]","CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",12-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SwihPy7ONfpfJRz%2BXWpKtNw%3D%3D
21,[Procurement of HFRR Reference Fluid for QC Lab ],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",11-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Suh22em2hYp5BrWydSIkl8g%3D%3D
22,[Procurement of ASTM grade Reference Fuel for Octane and Cetane Engine],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",12-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqoHHaUiYLQ0lrYDXzLX50Q%3D%3D
23,[Procurement of DAVR spares of M/s.ABB Make],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",11-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SwsQlmxTLOpLxVP7SVLQXxw%3D%3D
24,[ARC for Procurement of CCR Reduction off gas Chloride Guard Adsorbent for two years],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",23-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5%2B%2BZzddFl5vX2axxbOeyKA%3D%3D
25,[Procurement of Sulfur Guard Catalyst and Support Balls for ISOM Unit.],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",26-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SysOjzybW3SJlUR%2FRN6mQ8g%3D%3D
26,"[Expert service for Coke Drum Heading/ Unheading package by OEM M/s. Delta Valve LLC at CPCL, Manali]","CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",19-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SlB32oBPpcckecvz4cFLhCQ%3D%3D
27,[Procurement of Energy Recovery Turbine and its Spares Required for Desalination Unit of CPCL],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",20-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SJKpyF6V0O4Yg5eQU6PxQzg%3D%3D
28,[PROCUREMENT OF SPARE HYDRAULIC PUMP FOR PLANT-09 AND 14 FILTERS],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",15-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0n7ICZsTqTiJqx%2BoOT8QNA%3D%3D
29,"[Lining up Freight Forwarder to import Air Shipment (10,390 Kgs) from FCA Dusseldorf Airport, Germany to Chennai Airport, India]","CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",11-Sep-2025 02:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLo194cWMRPon%2Bd5UUufZRA%3D%3D
30,[SPARES REQUIRED FOR LOX PUMPS (232-G- 123A/B)],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",18-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SB0byQKVh5%2FvL5ZWxjIUVBQ%3D%3D
31,"[Pre-monsoon works, Piperack and Storm Water drains reliability improvement works at CPCL, Manali]","CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",11-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SunidrCSjfwYS%2FDE8eNI8dA%3D%3D
32,"[Roof slab replacement and RCC repairs of Permeate Water Storage Tank in CPCL, Manali]","CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",22-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SmCMsKLLen2ecOkAPSw6UPQ%3D%3D
33,[MECHANICAL SEAL SPARES FOR CRITICAL PUMPS],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",19-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SN6reFKBh7GG%2BfYvMhy2H%2FA%3D%3D
34,"[ Procurement of Automated On-line Crude Blending System for CDU 2 and 3 at MTF area - CPCL, Manali.]","CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",10-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SwChfi38FrInIAxPTNu%2FBfw%3D%3D
