Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RRVUN_503459_1,1,[Annual work contract for Repair and maintenance of Buildings at STPS Township],27-Sep-2025 09:00 AM,"RRVUN - CMD||RVUN - CE (SSTPS), Suratgarh",14-Oct-2025 11:00 AM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7C1917VVaiNlqNV0pD2iJQ%3D%3D
2,2025_RCSCE_503978_1,1,[HIRING OF MANPOWER MAHATMA GANDHI GOVT. SCHOOL IN SIKAR],26-Sep-2025 03:15 PM,Rajasthan Council of School Education,03-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5JVBKHa7J0IW0XV9pC4XaA%3D%3D
3,,1,[Construction of CC road and RCC drain in Mukundara Vihar Special (Rehabilitation) Housing Scheme.],26-Sep-2025 09:00 AM,UIT Kota||Addl. C.E.||S.E. - II||Ex.En. - I,06-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BfaA58Zol8XskEeoVek5hA%3D%3D
4,,1,[ Various Development works in Rangbari Balaji Mandir Kota.],26-Sep-2025 09:00 AM,UIT Kota||Addl. C.E.||S.E. - II||Ex.En. - I,06-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeK1r9CbIlLTPbRkd8T9XdQ%3D%3D
5,,1,"[Construction of  RCC Drain from Krishna Vihar to Riddhi Siddhi Park, Sector-2, Rangbari Yojna, Kota.]",26-Sep-2025 09:00 AM,UIT Kota||Addl. C.E.||S.E. - II||Ex.En. - I,06-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SliBxsajNwoPehRkQvliR%2BQ%3D%3D
6,2025_PRD_503785_1,1,[Machinery for Plastic Waste Management Unit village antela viratnagar],26-Sep-2025 09:00 AM,Panchayati Raj Department||Secretary and Commissioner||CEO- JAIPUR||BDO-VIRATNAGAR,10-Oct-2025 11:00 AM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMKinD2jMEcgKfTaId22GEw%3D%3D
7,,1,[Construction of CC Road in Vinobabhave Nagar Kota],26-Sep-2025 09:00 AM,UIT Kota||Addl. C.E.||S.E. - II||Ex.En. - I,06-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Slv5g2u7fAmMYPiKla0NFvA%3D%3D
8,2025_PRD_503795_1,1,[GRAM JAKHDA ME MAHENDRA KHICHAD KE GHAR SE BALAJI MANDIR KI OR INTERLOCK SADAK NIRMAN KARY],25-Sep-2025 06:55 PM,Panchayati Raj Department||Secretary and Commissioner||CEO-JHUNJHUNU||BDO-PILANI,01-Oct-2025 09:00 AM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMP8RGXdGRRXM3T0bRjXoJQ%3D%3D
9,2025_PRD_503750_1,1,[GRAM JAKHDA ME JISAB KAJI KI DUKAN SE RAJESH PAYAL KE GHAR TAK INTERLOCK SADAK NIRMAN KARY],25-Sep-2025 06:45 PM,Panchayati Raj Department||Secretary and Commissioner||CEO-JHUNJHUNU||BDO-PILANI,01-Oct-2025 09:00 AM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeG6vNDBUSWG0B4llfs7uFA%3D%3D
10,2025_CEPWD_503756_1,1,[RJ-11-01/SDRF/Sujangarh/25-26 Sub Dn I Sujangarh],25-Sep-2025 05:50 PM,PWD - CE AND AS||ACE - BIKANER||SE-CHURU||EE-SUJANGARH,29-Sep-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNRbdpYiJK2w1XoG1uoZUQA%3D%3D
