Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
43,2025_PR_185690_2,4,"[Annual Rate Contract for repairing of mixer rotor assembly of extruder installed in HDPE unit of IOCL, PNC]",13-Aug-2025 05:00 PM,IndianOil||Refineries||Panipat Refinery||Contracts,06-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlIJwHuVKVYw3hzEPd9jY5w%3D%3D
44,2025_PR_186243_1,4,[LSTK Works],12-Aug-2025 10:30 AM,IndianOil||Refineries||Panipat Refinery||Contracts,04-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCllD82wsqv4fev5yuVtedA%3D%3D
45,2025_REFHQ_186206_1,4,[SUPPLY OF PIG LAUNCHER AND RECEIVER],08-Aug-2025 05:10 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||Digboi-DR 1.0 Expansion||Project Group,06-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbNAi%2B9wP%2BZOEnEmVyhUkMA%3D%3D
46,2025_PR_186061_1,4,"[Mechanical, Civil and electrical Works for construction of Naphtha tanks 2 nos at PNC,Panipat Refinery and Petrochemical complex.]",30-Jul-2025 05:15 PM,IndianOil||Refineries||Panipat Refinery||Contracts,30-Sep-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S35zJwqwiiJICFmiYiAAecg%3D%3D
47,2025_REFHQ_185979_1,4,[COMPOSITE WORKS - II],25-Jul-2025 04:00 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||PRPC-PBR||Project Group,20-Oct-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SobrVfX7rR00RUwp9khD6SA%3D%3D
48,2025_REFHQ_185943_1,4,[SUPPLY OF SKID BASED AIR PACKAGE SYSTEM],23-Jul-2025 06:30 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||Digboi-DR 1.0 Expansion||Project Group,06-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXTT%2B3ZIsLxHMvbT7tvP3TA%3D%3D
49,2025_PR_185795_1,4,[DUIKER MAKE PILOT IGNITER],10-Jul-2025 06:00 PM,IndianOil||Refineries||Panipat Refinery||Materials,30-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1vkQ992xYONHiwTD5PoyDA%3D%3D
50,2025_REFHQ_185704_1,4,"[LT/B885-078-PM-T-9801/1001 - COKE DRUM REPLACEMENT, ALLIED MODERNIZATION AND PIPING WORKS IN DELAYED COKER UNIT OF PANIPAT REFINERY AT IOCL, PANIPAT ]",04-Jul-2025 06:00 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||Gujarat- Bitumen maximization project,06-Oct-2025 12:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SajbCI6wHADB7t2bI7C3Eyg%3D%3D
51,2025_BGR_185451_1,5,[Outright Sale of Spent Catalyst at  Bongaigaon Refinery],19-Jun-2025 05:00 PM,IndianOil||Refineries||Bongaigaon Refinery||Materials,03-Nov-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrTUsbNGw%2Bcfca3O4uVLZKA%3D%3D
52,2025_MR_185380_1,5,[RMRM255019],11-Jun-2025 03:00 PM,IndianOil||Refineries||Mathura Refinery||Materials,08-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8RLlY3jDbw5hL7QsCJS7qQ%3D%3D
53,2025_REFHQ_185208_1,5,[VRU Package for IOCL Barauni Refinery],27-May-2025 10:00 AM,IndianOil||Refineries||Refineries HQ||Project - PMC||BR-9 Expansion||Project Group,14-Oct-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8cgQxlWq3U0GHCEBv3Tkng%3D%3D
54,2025_REFHQ_183241_1,5,[EPCC 01 Tender for HDPE UNIT AND ASSOCIATED WORKS for Naphtha Cracker Expansion (Phase II) And New Ethylene Propylene Derivative Project on LSTK Basis],17-Jan-2025 06:55 PM,IndianOil||Refineries||Refineries HQ||Project - EPCM||Panipat- NCU Expansion Ph-II||Project Group,14-Oct-2025 02:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrhRGA84PtEdcITTqi61ptg%3D%3D
