Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DGMMC_10149_1,1,"[Construction of COCO Retail Outlet at Mathur, Chennai]",25-Sep-2025 06:45 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0nfMi3YaU0kta8hbG56Xuw%3D%3D
2,2025_DGMMC_10141_1,1,[SPARES FOR DCU BRIDGE CRANE],18-Sep-2025 11:30 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",10-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZiKpGaIro19Ny5bfGhPshw%3D%3D
3,2025_DGMMC_10137_1,1,[PROCUREMENT OF PLUGIN ASSEMBLY FOR EXPANDER TURBINE 232-XT-116],16-Sep-2025 12:40 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRchJ6N31jZi8evz19jaufA%3D%3D
4,2025_DGMMC_10134_1,1,[Procurement of Spares for Nabertherm make Muffle Furnace],13-Sep-2025 06:00 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHPDLA2szFsUP5jIh8ZlyXA%3D%3D
5,2025_DGMMC_10133_1,1,"[Shed extension works in North side of Warehouse -II complex at CPCL, Manali]",13-Sep-2025 05:30 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SO2iUuFE0JYltxPSn77RbGw%3D%3D
6,2025_DGMMC_10130_1,1,"[Concertina Coil, Barbed Wire and Chain Link Fencing Works at various locations of CPCL Manali]",13-Sep-2025 04:00 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sx4LCujGgM%2FNPbtChX0PXkg%3D%3D
7,2025_DGMMC_10127_1,1,[Procurement of Water Quality Analyser],12-Sep-2025 05:00 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SV1zRlpJDXRDwiyJGYhjxIQ%3D%3D
8,2025_DGMMC_10125_1,1,"[New drain construction at Asphalt Tank Farm, Refinery-III Fire Water Reservoir and Day Tanks to DHDT at CPCL, Manali]",12-Sep-2025 03:40 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SA2Z07TokWG9j5lDRbJnWxw%3D%3D
9,2025_DGMMC_10121_1,1,[Procurement of Spares for Thermofisher make ICP-AES],10-Sep-2025 06:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShIKdkLnPBsAS8EeRBA2wIg%3D%3D
10,2025_DGMMC_10115_1,1,"[Roof slab replacement and RCC repairs of Permeate Water Storage Tank in CPCL, Manali]",08-Sep-2025 04:45 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",06-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmCMsKLLen2ecOkAPSw6UPQ%3D%3D
11,2025_DGMMC_10113_1,1,[SPARES REQUIRED FOR LOX PUMPS (232-G- 123A/B)],08-Sep-2025 11:00 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SB0byQKVh5%2FvL5ZWxjIUVBQ%3D%3D
12,2025_DGMMC_10110_1,1,[Procurement of Energy Recovery Turbine and its Spares Required for Desalination Unit of CPCL],05-Sep-2025 03:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJKpyF6V0O4Yg5eQU6PxQzg%3D%3D
13,2025_DGMMC_10107_1,1,[Procurement of Sulfur Guard Catalyst and Support Balls for ISOM Unit.],05-Sep-2025 11:10 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SysOjzybW3SJlUR%2FRN6mQ8g%3D%3D
14,2025_DGMMC_10105_1,1,[ARC for Procurement of CCR Reduction off gas Chloride Guard Adsorbent for two years],02-Sep-2025 05:45 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 12:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5%2B%2BZzddFl5vX2axxbOeyKA%3D%3D
15,2025_DGMMC_10100_1,1,"[PROCUREMENT OF RGC and ITS DRIVE TURBINE SPARES OF OHCU and DHDT (207K01, 211TUR02 and 211K02) OF M/s BHEL MAKE AT REF-III OF CPCL, MANALI]",02-Sep-2025 04:30 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwihPy7ONfpfJRz%2BXWpKtNw%3D%3D
