Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
361,2025_DTP_607728_1,"[Repair and Maintenance of Anganwadi Building  at Keelamaruthuvakudi Weathering work, pressed tiles, Door and window Maintenance work, painting work,plumbing and Electrical work in Aduthurai Town panchayat]",24-Sep-2025 09:00 AM,"Directorate of Town Panchayats||Thanjavur Zone||Aduthurai Town Panchayat, Thanjavur",03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ6eIO1jZZ4QXqY7DSz54Cw%3D%3D
362,2025_MAWS_607227_1,[GENERAL FUND-2025-2026-Repair and Maintanace of Over Head Tank and Drain at Ward No.15 Area in Karamadai Municipality.],22-Sep-2025 09:00 AM,MAWS||Karamadai Municipality,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsUmr%2B69PuMA1ARnP6SEYlQ%3D%3D
363,2025_CTNC_594930_1,[RFP for Establishing and Managing the Waste Intelligence and Monitoring Cell for Clean Tamil Nadu Company Limited],28-Aug-2025 06:10 PM,Clean Tamil Nadu Company Limited,08-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRt0cjlaWbOU4sJ4EdYzVAw%3D%3D
364,2025_EB_605840_1,[Supply of White cotton waste],19-Sep-2025 02:00 PM,TNEB Limited||TANGEDCO||CE-Distribution-Coimbatore - TANGEDCO||SE-Udumalpet - TANGEDCO,06-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9l%2BDPDnNpmTZKdrtpUC5Kg%3D%3D
365,2025_HWAY_598758_4,[Widening from TL to FL and Strengthening Incl Sub Works in Aranthagi Subdivision TRY-47],30-Aug-2025 06:30 PM,Highways||Construction and Maintenance Wing||Trichy Circle,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1fIWFBUskFF8i8ZjnB1f7Q%3D%3D
366,2025_HWAY_605766_1,[TN.No.26 / SI.No.12 / 2025-2026 / SDO / CPT - 33],20-Sep-2025 09:00 AM,Highways||NABARD and Rural Roads||Chengalpattu,07-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNH96i193waG3M78aO1veww%3D%3D
367,2025_HWAY_603525_1,[VPM-105-Non Plan-2025-26],18-Sep-2025 10:00 AM,Highways||Construction and Maintenance Wing||Villupuram Circle,15-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLApvtVm21R8nY%2BQmgFtSGA%3D%3D
368,2025_TASMA_606329_1,[SALE OF EATABLES AND  COLLTECTION OF EMPTY BOTTLES],20-Sep-2025 11:00 AM,"Tamil Nadu State Marketing Corporation Ltd (TASMAC)||Senior Regional Manager Office-Salem||District Manager, Dharmapuri",06-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJoWpiEl%2BEYmJ6DCnIQlOqg%3D%3D
369,2025_DTP_606470_1,[2025-2026 General Fund work in Alwarthirunagari Town Panchayat],19-Sep-2025 03:40 PM,Directorate of Town Panchayats||Tirunelveli Zone||Alwarthirunagiri Town Panchayat,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrPmZB1zh%2B1w9lHcYUpU4qA%3D%3D
370,2025_RDTN_609059_1,[Construction of Passanger Shelter at Maranthai village road left side in Maranthai panchayat in Alangulam panchayat union],26-Sep-2025 03:00 PM,Rural Development and Panchayat Raj Department||Tenkasi RD TN||Alangulam Tenkasi RD TN,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLgIU9pt7jnM%2FTOzOZYnjaA%3D%3D
