Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
15,2025_UTDNH_7702_1,"[Construction of Hostel Building for PG Course (MS /MD) in Medical College Campus at Sayli, Dadra and Nagar Haveli.]",15-Sep-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,06-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEqbwUn7MvifAHxylw5Jhtg%3D%3D
16,2025_UTDNH_7709_1,[Procurement and Installation of Play Equipment at two Govt. Schools i.e. (i)  CPS Dadra (EM) and (ii) CPS Naroli (EM)],19-Sep-2025 03:30 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||Development and Planning Off. -DNH-Silvassa-UTDNH,09-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb8THS3klfvD1Ub0vrWVyYg%3D%3D
17,2025_UTDNH_7738_1,[Repair and maintenance work to existing Primary School building at Samarvarni Panchayat DNH 2025-26],27-Sep-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfcCs%2FDhNa9RZrRlU4jROyQ%3D%3D
18,2025_UTDNH_7726_1,[Special repairs to IHM and CT Hostel Campus at Karad.(2nd Call)],25-Sep-2025 06:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDY3bcdQbXCglc4%2BQueow7w%3D%3D
19,2025_UTDNH_7657_1,[Upgradation and Strengthening of Road from Gandhigram Junction to Silli-Fatak. Ch. 0 plus 000 to Ch. 2 plus 420 and Upgradation and Strengthening of Road from Silli Fatak to Gujarat Boader Ch. 0 Plus 000 to Ch. 4 Plus 940 EPC Mode.],05-Aug-2025 12:30 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,07-Oct-2025 12:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbXhl960zK0iTp4e1hloOdw%3D%3D
20,2025_UTDNH_7737_1,[Repair and maintenance work to existing Primary School building at Naroli Panchayat DNH 2025-26],27-Sep-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCYWOWwymlNjB86hFuyLXjw%3D%3D
21,2025_UTDNH_7721_1,[Maintenance of SOs Mess and Quarter Guard Building at Mota Randha IRBN Campus at DNH.],24-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,30-Sep-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkANbp0TsboogaoRJHj9i2Q%3D%3D
22,2025_UTDNH_7735_1,[Repair and maintenance work to existing Primary School building at Dadra Panchayat DNH 2025-26],26-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Swtj8NYf4w3Bk7Rdk7WT2HQ%3D%3D
23,2025_UTDNH_7718_1,[Selection of Agency for Digitization of MSMEs under RAMP Scheme  ],25-Sep-2025 05:00 PM,UT Administration of Dadra and Nagar Haveli||Industry - UTDNH||G.M District Industries Centre DNH-Silvassa-UTDNH,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2fKvF2wDUcmWsyaHB3tPwg%3D%3D
24,2025_UTDNH_7715_1,"[Supply of 66/11.55KV 20MVA Power Transformers at Dabhel Sub-Station, DNHDDPCL.]",24-Sep-2025 12:20 PM,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH,06-Oct-2025 01:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SP96BT0yirW5BcQNaDfftEg%3D%3D
25,2025_UTDNH_7740_1,[Purchase of Medicines for NLEP],29-Sep-2025 12:10 PM,UT Administration of Dadra and Nagar Haveli||State Health Society - UTDNH,13-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHNkU4wRyos4izoHA5eEJsQ%3D%3D
26,2025_UTDNH_7713_1,[PPP in Education (Adoption Model - Rakholi)],22-Sep-2025 03:00 PM,UT Administration of Dadra and Nagar Haveli||Education Department - UTDNH||Directorate of Education - UTDNH,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Saim34lMtN%2FGueHNytbpntA%3D%3D
27,2025_UTDNH_7708_1,"[Construction and erection of tensile roof structure, sports floodlights, public seating, furniture and fixtures and allied components for Cricket stadium at NAMO sports complex, Sayli, Silvassa on EPC basis (Phase-3).]",19-Sep-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||Dadra and Nagar Haveli- Planning and Development Authority - UTDNH||Off.of Exec.engineer-planning and develop.-UTDNH,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1sKMF5nGUF2y5q%2FJ6SV%2BJw%3D%3D
28,2025_UTDNH_7701_1,[Integrated Infrastructure Project Under Silvassa Smart City Limited Paver Block Roads Phase-5],12-Sep-2025 06:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,02-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0mTF1EvYuVW6c53OWroyoA%3D%3D
29,2025_UTDNH_7675_1,"[Selection of an agency for Operation, Management and  Maintenance of Hospitality and Allied Services at Ayurvedic Hospital and Wellness Centre, Pati, DNH]",26-Aug-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||Director Medical and Health Service - UTDNH||Off. Of Dir. Medical and Health Service - UTDNH,06-Oct-2025 02:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S67oGrQv9HOLH5M%2FgG7oHQQ%3D%3D
30,2025_UTDNH_7723_1,[Special repairs to type-IV qtr. Block-D at Polytechnic Campus Karad.],24-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,30-Sep-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrWch9NlpNeimej%2FVPznO%2BA%3D%3D
31,2025_UTDNH_7734_1,[Repair and maintenance work to existing Primary School building at Rakholi Panchayat DNH 2025-26],26-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz5Bq%2F8RcAYlKb1WRlStklA%3D%3D
32,2025_UTDNH_7730_1,[Strengthening of conductor from zebra conductor to HTLS (378sq.mm.) along with replacement of Earth wire with 24 OPGW for 220kV Kala Khadoli D/C line (6.5km) in UT of DNHDD],25-Sep-2025 06:00 PM,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH,14-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBOkPL%2Bh9nuc35noO5t357w%3D%3D
33,2025_UTDNH_7720_1,[Shifting of Water Supply Pipe line at Dadra main road to Tighra (8th call)],24-Sep-2025 05:55 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,01-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgYhi9mWLZpjvmMJrjZNbVQ%3D%3D
34,2025_UTDNH_7674_1,"[Selection of an agency for running the Ayurvedic Hospital by providing skilled manpower, medicines and consumables at Ayurvedic Wellness Centre and Hospital, Pati, DNH]",26-Aug-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||Director Medical and Health Service - UTDNH||Off. Of Dir. Medical and Health Service - UTDNH,06-Oct-2025 02:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRwUFQ%2Bmqw%2BitNYL6yF6BaA%3D%3D
35,2025_UTDNH_7724_1,"[Supply, Installation, Commissioning and Testing of Nitrogen Injection Fire Protection System (NIFPS) for 160MVA and 50MVA Power Transformer at 220/66KV Ringanwada sub-station, Daman.]",24-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH,06-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S65MXge3X%2BxXNd0wrsAzGmg%3D%3D
36,2025_UTDNH_7727_1,"[Construction of retaining wall (RCC and Gabion ) at Tourist resort Dudhani, Dadra and Nagar Haveli (S.H Providing Twenty Nos of Bore holes along Gabion wall and retaining wall aligment at Dudhani Jetty, Silvassa.) (2nd Call)]",25-Sep-2025 06:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrNQOiJImpadIVSRG1L7%2B9g%3D%3D
37,2025_UTDNH_7716_1,"[Repair, Maintenance and Construction of the Control Center at Water Treatment Plant near Collector Bungalow, Silvassa.]",24-Sep-2025 11:55 AM,UT Administration of Dadra and Nagar Haveli||Silvassa Municipal Council - UTDNH||Off. of Chief Officer-SMC - UTDNH,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHoZqNKUpUq5ueJXpLpvcGg%3D%3D
38,2025_UTDNH_7684_1,"[Providing SCADA System at Water Treatment Plant WD-II and WD-III, Silvassa]",08-Sep-2025 02:10 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,30-Sep-2025 02:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSpxdU%2BkV9M%2BgOplCDODWcA%3D%3D
39,2025_UTDNH_7722_1,"[Supply of 11 KV, 1250 A, SCADA compatible Outdoor VCB Panel for providing additional outgoing feeders at various sub-station of Daman.]",24-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH,06-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQltOoErYqmOv8ohRY0P10g%3D%3D
