Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
330,2025_ONGC_249403_1,[Setting Up of Command Center at IRS Ahmedabad with 2 Year Post-Warranty CAMS on LSTK Basis ],18-Sep-2025 05:00 PM,Oil and Natural Gas Corporation Limited||Central Procurement Department - ONGC||DIGITAL AND IT GROUP - ONGC,11-Nov-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SWXA9nWJmsURrsnzznpihIQ%3D%3D
331,2025_NEEPC_250673_1,"[Construction of Security Booth near Administrative building at THPS, Mizoram]",27-Sep-2025 05:00 PM,North Eastern Electric Power Corporation Limited||Tuirial Hydro Electric Project-Mizoram - NEEPCO||Contract and Procurement-THEP - NEEPCO,29-Oct-2025 04:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SC4kUZGPAa84HTWraj3eGsA%3D%3D
332,2025_ITDC_249885_1,"[Renovation of Amphi-Theatre and its Toilet at The Ashok Hotel, New Delhi]",22-Sep-2025 02:00 PM,India Tourism Development Corporation Ltd.||The Ashok - ITDC,06-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stp9KVxP7gtyuyun6Bl1BSg%3D%3D
333,2025_AWEIL_248295_1,[CNC Chambering Machine],12-Sep-2025 11:00 AM,ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||ORDNANCE FACTORY - KANPUR,04-Oct-2025 10:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkSOuVPMTqdlkuR6WtPmHvQ%3D%3D
334,2024_NHAI_221719_1,[Development of 4 Lane AC Greenfield Regional Expressway on Northern side of Hyderabad from Reddipalle vill (DC. 33.000) to Islampur vill (DC. 59.000) for a design length of 26.000 Km in Telangana under NH(O) on EPC Mode (Package II)],28-Dec-2024 09:00 AM,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGdA9vJt935PkJUp7lboX%2Fw%3D%3D
335,2025_NHAI_242181_1,[Up-gradation of existing 2 lane to 4 lane with paved shoulder from Deshgaon to Julwaniya section of NH-347B from design km 0.000 Existing km 99.924 on NH-347BG to design km 108.643 (Ex km 129.900 on NH-52) under NH(O) in Madhya Pradesh on HAM],22-Jul-2025 05:30 PM,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,09-Oct-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBpE4PqFmuu9zuJwfFPFDqw%3D%3D
336,2025_NHAI_250647_1,[Construction of 4lane South-East Bypass for Azamgarh City connecting NH-28 at existing Ch. Km 218.800 to Purvanchal Expressway at existing Ch. Km 247.850 (total length 14.905 Km) in UP on EPC Mode],26-Sep-2025 06:30 PM,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,13-Nov-2025 11:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsLJS9SKqdzy5YM31WKiRfA%3D%3D
337,2025_CSIR_249410_1,"[Renovation / Upgradation pf Building No.19 and 20 at CSIR-CECRI, Karaikudi]",19-Sep-2025 11:00 AM,Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||ESD-CECRI - CSIR,06-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SILotDEiW66WGj4dlXalS5g%3D%3D
338,2025_MCD_249998_1,"[Provision of lighting arrangement at MPl Park near H.No 810 D Block Saraswati vihar, in Ward No 58, under Keshav Puram Zone]",22-Sep-2025 06:00 PM,Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,30-Sep-2025 10:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S46HkPyGUre25ssCe3jnuCQ%3D%3D
339,2025_BSNL_248303_1,"[TENDER FOR SUPPLY, INSTALLATION, TESTING, COMMISSIONING, ANNUAL MAINTENANCE OF RF TOOLS and TESTERS]",12-Sep-2025 09:00 AM,Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office,01-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ4s1GjMhuuC1iMosRN7tFQ%3D%3D
340,2025_DVC_246119_1,[PILOT PROJECT FOR INSTALLATION OF AUTO-RECLOSER AND ITS CONTROL THROUGH REMOTE SUBSTATION],22-Aug-2025 06:55 PM,Damodar Valley Corporation||HQ Kolkata - DVC||C and M,07-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2F7mY94dWtk1AHisMXjQcsA%3D%3D
341,2025_BECIL_247312_1,[EMPANELMENT OF REPUTED AGENCIES FOR Structural Consultant/Structural Consultancy Services for Design and Vetting of FM Broadcast Towers at Various Locations across India for FM Phase-III (Batch-3)],02-Sep-2025 06:00 PM,Broadcast Engineering Consultants India Limited||BECIL Noida Office,15-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sg7141qXxE9EribvwE3nmUw%3D%3D
342,2025_MCD_250019_1,[Improvement and development of road and drain by pdg. CC pavement from Kuldeep Rana Chopal to Kabza Factory in village Shahbad in ward No. 29 Pooth Khurd in Narela Zone],23-Sep-2025 05:30 PM,Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,03-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAw%2BCWRXtOCu8dkk0j8a6rg%3D%3D
343,2025_BPSCL_250675_1,"[Supply, Installation Testing and Commissioning of Dual Float Cum Boost Charger Set for Station Battery bank along with DCDB.]",27-Sep-2025 06:00 PM,Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,27-Oct-2025 11:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiwaTvU7eDz096%2Fh%2Fw7xJ6w%3D%3D
344,2025_JPL_235053_3,[Supply of IP Turbine Bladed rotor with inner casing],19-Aug-2025 01:00 PM,Jhabua Power Ltd,29-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShRkmieklG0ibqQGe%2Bw0ziQ%3D%3D
