Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DAMAN_4458_1,1,"[Design, Construction, Operation and Maintenance of Sports Activity at Adventure Park, Jumprin, Moti Daman. (4th Call)]",18-Sep-2025 04:30 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,03-Oct-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmKR0mX942bL9Wpj1t0YQPQ%3D%3D
2,2025_DAMAN_4446_1,1,"[Purchase of Equipment for 300 bedded New Government Hospital, Marwad, Daman. (2nd Call) ]",06-Sep-2025 06:50 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,07-Oct-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S94RoutNcdAGYiSYsjOz5yA%3D%3D
3,2025_DAMAN_4440_1,1,"[RFP FOR PROVISION, OPERATION AND MANAGEMENT OF SMART BICYCLES ON RENTAL BASIS IN DAMAN DISTRICT]",03-Sep-2025 05:30 PM,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman,30-Sep-2025 06:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SavIKTEEzJm7cydkoN3maow%3D%3D
4,2025_DAMAN_4439_1,1,"[SUPPLY, INSTALLATION, TESTING AND COMISSIONING OF SECURITY EQUIPMENTS AND BAGGAGE HANDLING SYSTEM WORKS AT PASSENGER TERMINAL BUILDING, NEAR COAST GUARD AIR STATION, DAMAN. (3rd call)]",03-Sep-2025 04:15 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,30-Sep-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLU4JPg0ZckEyUuWca%2Bdp4w%3D%3D
5,2025_DAMAN_4418_1,1,[CONSTRUCTION OF PROPOSED SIGNATURE BRIDGE CONNECTING JAMPORE SEA FRONT ROAD NEAR LIGHT HOUSE TO DEVKA SEA FRONT ROAD AT PARKOTA SHERI AT DAMAN. (2nd call)],22-Aug-2025 05:00 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,30-Sep-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9aCy6Tq5G%2FxtDqhN5FxClQ%3D%3D
