Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
135,2025_MDPEY_86578_1,13,[Construction of OHT Tube Wells Pump House Toilet Boundary wall and Laying and jointing of Rising Main and Distribution system of Patel Nagar (East) Water Supply Scheme under SASCI Programme.],25-Aug-2025 05:55 PM,"MD (Drinking Water) Peyjal Nigam GoUK||CE - Garhwal Zone||SE, Construction Circle, Dehradun",01-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SG3YCSzSIQWTryk0mvqfJ7g%3D%3D
136,2025_MDPEY_86559_1,13,[Construction of OHT Tube Wells Pump House Toilet Boundary wall and Laying and jointing of Rising Main and Distribution system of Sankriti Lok Colony Water Supply Scheme under SASCI Programme.],25-Aug-2025 05:40 PM,"MD (Drinking Water) Peyjal Nigam GoUK||CE - Garhwal Zone||SE, Construction Circle, Dehradun",01-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FN7TjjYTzr4JKWLejmgx%2Fw%3D%3D
137,2025_pwd_86560_1,13,[Reconstruction work of the Nigum Nala road in the Kaladhungi assembly area of Nainital district by PC and the new construction work of the road from Shobhan Ram house to Suresh Bhatt house Under State sector],25-Aug-2025 05:00 PM,PWD||2nd Circle Nainital,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVv6yFqgnX%2BheYqmQERyMeQ%3D%3D
138,2025_pwd_86563_1,13,"[Under the state plan (Honorable Chief Minister announcement number 77/2020), the construction work of a new 24-meter long RCC bridge over the Nihal River at kilometer 36 of the Nainital district Haldwani, Ramnagar- Kaladhungi - Kathgodam - Chorgalia ]",25-Aug-2025 05:00 PM,PWD||2nd Circle Nainital,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXOxsgh0fOcmbU6fhN%2F7ClA%3D%3D
139,2025_pwd_86569_1,13,"[Under the state scheme, road widening work by DBMS, BC from Kathgharia to Paniyali in the Kaladhungi assembly constituency of Nainital district in the Haldwani Development block]",25-Aug-2025 05:00 PM,PWD||2nd Circle Nainital,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FpuB6PykW30BUx5hgrluRQ%3D%3D
140,2025_pwd_86475_1,13,[Construction of 48 m. Span steel truss bridge at Km. 1 over Ram Ganga river on Maalkot Kalimati Seera Tivakhrk Motor Road in Gairsain Constituency of District Chamoli.],22-Aug-2025 09:00 AM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYhT%2Fp3O7jFONLtptGehkJA%3D%3D
141,2025_pwd_86470_1,14,[Work of Strengthening and Re-Construction of Gorapadav Gola Gate Motor Road through CC of Lalkuan Constituency under District Mining Trust],21-Aug-2025 05:55 PM,PWD||2nd Circle Nainital,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb0Xz0NARfhb03HsiRP0uXA%3D%3D
142,2025_UPCL9_86464_1,14,[02/ETD(K)/2025-26],21-Aug-2025 03:00 PM,MD - UPCL||CE (Dist) Kumaon||SE (D) Kashipur||EE (Bajpur),08-Oct-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5eWNZP1bCgJzs7ujiKw8og%3D%3D
143,2025_pwd_86443_1,14,[Construction work of internal roads through interlocking tiles of village Ramgarh of Gram Sabha Sheeshambada in Constituency Sahaspur of District Dehradun under State Sector.],20-Aug-2025 06:30 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVXmWGz55cTUyw7UHiA9C1w%3D%3D
144,2025_pwd_86441_1,14,[Construction work of internal roads through interlocking tiles of village Naya Gaon Pelio and Nathuwala of Gram Panchayat Bhuddi of East Hopetown of  Sahaspur constituency of  Dehradun district  under State Sector.],20-Aug-2025 06:30 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScgmzlEIK7qWh9Bu27zgl%2Bw%3D%3D
145,2025_pwd_86383_1,14,"[Under the state Sector, construction work of internal roads with interlocking tiles near Rajiv Balvidya Mandir School in village Chakmansha of Gram Panchayat Bhuddi of East Hopetown of Sahaspur constituency in Dehradun district.]",20-Aug-2025 06:00 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SngogUPtsCQOB%2B5aozlH8wQ%3D%3D
146,2025_RES_86376_1,14,[Reconstruction work of Government Primary School Hakikatarai Dehradun (Development Block Raipur) Search for this ],20-Aug-2025 06:00 PM,RES - Chief Engineer||SE - Pithoragarh||EE - Didihat,08-Oct-2025 02:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2WeshDcamgxRklgbD1D%2FYw%3D%3D
147,2025_pwd_86117_1,14,"[Under the State sector, repair/construction work of damaged motor roads of Laxmipur gram panchayat of Sahaspur constituency of Dehradun district through interlocking tiles.]",20-Aug-2025 06:00 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Snc88tQH94CUzECxFEFwE1Q%3D%3D
148,2025_pwd_86379_1,14,[Construction work of drain and cross drain on Majra Sewala Kala motor road in Raipur block of Dharmpur constituency of Dehradun district under State Sector.],20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STOejcizbL58D86CEkUwfiA%3D%3D
149,2025_pwd_86381_1,14,[Construction work of Road and drain in Dharawali Colony and Kailashpur (near the mill) in Dharampur constituency of Dehradun district under State Sector.],20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZZ1xP88o7laAwSMl2g5M9A%3D%3D
150,2025_pwd_86430_1,14,[Under the State Sector Construction of  Motor Road (Second Phase stage-1)from Dungri to Kaunj-Pothani-Baunla in Dasholi block of Badrinath Assembly Constituency in Chamoli District.],20-Aug-2025 05:00 PM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4liUXoVUgjCvJM6doe3nww%3D%3D
151,2025_pwd_86377_1,15,"[Under the State sector, construction work of interlocking tile work from Sharda marriage ground to Captain Thapa house and lane no. 8 and lane no. 9 roads in village Ambiwala, Sainik Colony, under Sahaspur constituency of Dehradun district.]",20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRNyhJE8hIp5dH9dWPTODaQ%3D%3D
152,2025_pwd_86382_1,15,[Reconstruction of internal roads through SDBC and interlocking tiles and construction of drains of Uday Vihar in Ward No. 75 Majra of  Dharampur constituency in Dehradun district under State Sector.],20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjAJwc90WEo1oynDPuTYxhA%3D%3D
153,2025_pwd_86378_1,15,[ Construction work of damaged internal roads and drains of  Nanda Enclave in Constituency Dharampur of Dehradun District under State sector.],20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgIZ46HXqgK%2B3hIHNG%2BgENA%3D%3D
154,2025_pwd_86373_1,15,"[Construction of internal roads and drains in the villages of Pithuwala Khurd, Chandrabani Choyla and Pattiowala of Sahaspur constituency of Dehradun district.]",19-Aug-2025 06:30 PM,PWD||9th Circle Dehradun,06-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMicnU8epQ7Bt9OIMHFNTsg%3D%3D
155,2025_pwd_86329_1,15,[New Construction work of motor road from Sauda Dwara to Chameli Chowk in Raipur Constituency of Dehradun District under the Honorable C.M. Ghosna no. 385/2019. (Second Phase Stage-2)],19-Aug-2025 03:00 PM,PWD||9th Circle Dehradun,06-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShTPXa5kZm%2Fd4H7tXXZglQg%3D%3D
156,2025_pwd_86301_1,15,"[Under the state sector under Nanda Devi Raj Jaat Pilgrimage 2026 Repair and protection work on the Adibadri-Nauti Motor Road including damaged walls, causeways, culverts. (Length-38.53 Km.)]",19-Aug-2025 09:30 AM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQ8J6ynFUTB2A8RZkuMIVUg%3D%3D
157,2025_pwd_86301_2,15,"[Under the state sector under Nanda Devi Raj Jaat Pilgrimage 2026 Repair and protection work on the Karanprayag - Nauti - Paithani Motor Road near the Maa Nanda Temple in Nauti from Km. 1 to 30 including damaged walls, causeways, culverts and drains.]",19-Aug-2025 09:30 AM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH2SYxuvsog7QjOub4NoCrQ%3D%3D
158,2025_UPCL7_86305_1,15,[For sale of ASCR Conductor scrap available in Stores under ESD UPCL Haldwani],19-Aug-2025 09:00 AM,MD - UPCL||CE (MM and I)||SE (MM),03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnJva1eR1k9ogTVUffjOmbQ%3D%3D
159,2025_UPCL7_86302_1,15,[For sale of ACSR Conductor scrap available in Stores under ESD UPCL Dehradun],19-Aug-2025 09:00 AM,MD - UPCL||CE (MM and I)||SE (MM),03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6m0DiCiGdyIZ7orqkLWXbA%3D%3D
160,2025_pwd_86264_2,15,[Renewal work by SDBC of Internal motor roads in Munsiyari of constituency Dharchula and 3 year maintenance work under Honble CM ghosna No. 1432/ 2021 (length 2.86 km).],15-Aug-2025 05:00 PM,PWD||3rd Circle Pithoragarh,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvSkWbEeRJbpdDHllOBRKMg%3D%3D
161,2025_PMUJ2_86237_1,16,[Basic Design And supervision consultant for the works under the project for improvement of Urban Water Supply system in Uttarakhand],14-Aug-2025 05:00 PM,Program Director PMU JICA Uttarakhand||Additional Program Director,25-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYp9tj4owBw8WNspI5tC6gA%3D%3D
162,2025_pwd_86241_1,16,[Under the state Sector Damrikaran of the Nanda Devi Rajjaat route from Kansuwa to Chandpurgadi on the Adibadri-Nauti motor Road in the Karanprayag constituency of Chamoli district.],14-Aug-2025 05:00 PM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJvuOgLbI7mJDs9fl91SpWA%3D%3D
163,2025_pwd_86027_1,16,[Construction work of 30 Mtr Span Steel Girder Bridge at Km 2 Ch. 1/32 to 1/34 Tirjuginarayan to Toshi Motor Road in Kedarnath Legislative assembly Area in Ukhimath Block in Distt Rudraprayag Under State Sector Honble C.M. Ghoshna. No. 627/2019.],12-Aug-2025 06:00 PM,PWD||7th Circle Gopeshwar,30-Sep-2025 04:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVmjRNg8wt0gA7v3Rkw0OdA%3D%3D
164,2025_pwd_85867_1,16,"[Construction work of Suspension Bridge 90 Mtr Span at Km 26,  X/S 25/17 to 25/21 of Panchkedar Sri Masta-Madhmaheswar Temple Briddle Path in Kedarnath Legislative assembly Area in Ukhimath Block in Distt Rudraprayag Honble C.M. Gosh. No. 438/2024.]",12-Aug-2025 06:00 PM,PWD||7th Circle Gopeshwar,30-Sep-2025 04:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjNtX1GZLGwk3x6nlJv3pHQ%3D%3D
165,2025_pwd_86105_1,16,[Construction by CC and beautification of both sides of the Vivekananda Main Road under the Mining Trust Department with tiles (Pending approval)],12-Aug-2025 06:00 PM,PWD||2nd Circle Nainital,14-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGjeoO%2BYZvSAI102WjYfA%2Bg%3D%3D
166,2025_UJVN_84881_1,16,[Construction of Civil Hydro-Mechanical and Electro-Mechanical works of Tiuni-Plasu HEP (72 MW) on River Tons in District Dehradun of Uttarakhand.],17-Jun-2025 06:00 PM,MD- UJVN||Director (Project)||GM (C-NP),25-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz5z8uQL4UmJzs89BRtcm4g%3D%3D
167,2025_PTCU4_84429_1,16,[LILO of 400 kV Puhana PGCIL Muzafarnagar Line at proposed 400 220 kV GIS Substation Roorkee through overhead line and underground cable],28-May-2025 06:30 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (C and P)-II||E.E.(C and P-II),09-Oct-2025 03:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOx6P%2FSE6ZHrQUOaroF9iAQ%3D%3D
168,2025_PTCU4_82182_1,16,[Augmentation of Transformation Capacity of 80 MVA Transformer at 132 kV Substation Majra],29-Mar-2025 06:55 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (C and P)-II||E.E.(C and P-II),03-Oct-2025 03:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SY0LDJBqRT4mFFfesFEzkqQ%3D%3D
169,2025_DAH_80679_1,16,[Supply of Veterinary Ayurvedic Medicines],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5dArbLIM0yv41XS8hjRSNQ%3D%3D
170,2025_DAH_80703_1,16,[Supply of Veterinary Vaccines],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdZGGo5S8b01S8vPnHsxIbQ%3D%3D
171,2025_DAH_80699_1,17,[Supply of Veterinary Instruments and Equipments],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkaVoPyjXFdu7apA%2BhSaxjg%3D%3D
172,2025_DAH_80694_1,17,[Supply of Consumables],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdFJUai8B0m2%2BEVR2TWAQDA%3D%3D
173,2025_DAH_80692_1,17,[Supply of Veterinary Feed Suppliments],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjZeAa83ABjXr%2F2Gv5jokcw%3D%3D
174,2025_DAH_80660_1,17,[Supply of Veterinary Allopathic Medicines],25-Feb-2025 10:00 AM,Director (Animal Husbandry)||Jt. Director (Procurement),30-Sep-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoO5SpwbaP7IH4Dv%2Fp565LA%3D%3D
175,2024_UJVN_74253_1,17,[Electro Mechanical Works of 3x100 MW Lakhwar MPP],09-Aug-2024 05:00 PM,MD- UJVN||Director (Project)||GM (E and M Design)||DGM (Design-I),23-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FrbcZsAcL0m3%2BmOp6YMPog%3D%3D
176,2024_UTDB_74306_1,17,"[Concept Planning, Development, Operation, Maintenance and Management of Tent City and organizing Tehri Mahotsav at Tehri Lake Front, Uttarakhand under DBFOT Mode of Public Private Partnership (PPP)]",06-Aug-2024 03:00 PM,CEO (Uttarakhand Tourism Development Board)||Director (Infrastructure),07-Nov-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUwzX1Eg0giI1WFCtAl5lxg%3D%3D
177,2024_UTDB_67264_1,17,"[Development, Operation and Maintenance of  a Luxury Floating Hotel/Resort at Tehri Reservoir under DBFOT Mode]",05-Jan-2024 03:00 PM,CEO (Uttarakhand Tourism Development Board)||Director (Infrastructure),03-Nov-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrGeHQalZ3KrqEZx%2B1FE42A%3D%3D
