Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
147,2025_RFCG_87532_1,[Transportaion of Food Grain Shops],25-Sep-2025 09:00 AM,Regional Food Controller Garhwal,30-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SnDfvE4jO4XkinxXy1tLRKQ%3D%3D
148,2025_UKJS_87110_15,"[OPERATION AND MAINTENANCE WORK OF KAINCHIWALA ABDULLAPUR, BHAGWANPUR JULO AND RAMSAWALA WATER SUPPLY SCHEME UNDER SAHASPUR UNIT]",12-Sep-2025 12:10 PM,CGM (Drinking Water) Jal Sansthan||GM (Head Office)||SE (Rural) Dehradun||Accountant Dehradun (Maint),03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkMO7otJD8vHHlcCnii3RXA%3D%3D
149,2025_UPCL5_87346_1,[For Replacement of Weasel Conductor],22-Sep-2025 10:00 AM,MD - UPCL||CE (Dist) Haridwar||SE (D) Haridwar,08-Oct-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUeynE2nnqgBr3ckt4Sldow%3D%3D
150,2025_IRDCE_87074_1,[Renovation of Chhana Minor in Block Dwarahat District Almora Under NABARD RIDFXXX Reach Construction of Check Dams on Head of Chhana Minor and Nausar Auxilary Gul],11-Sep-2025 03:00 PM,IRD - Chief Engineer||Chief Engineer - Irrigation and Flood Kumaun Haldwani||Irrigation Work Circle - Almora||Irrigation Division - Ranikhet,03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXzX83yBz4vKvghhReisVwA%3D%3D
151,2025_MDPEY_87250_1,[Chaukhutiya Pumping Water Supply Scheme AMRUT 2 Programme],18-Sep-2025 06:00 PM,"MD (Drinking Water) Peyjal Nigam GoUK||CE - Kumaon Zone||SE, Construction Circle, Almora||EE (Construction), Ranikhet",03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SA6C5ZefNNPdPLtH4XDLmvw%3D%3D
152,2025_UPCL9_86599_1,[Supply of 11 KV jointing kit at Kathgharia S/s SubDiv Kamaluwaganja against head O and M for the year 2025-26],26-Aug-2025 03:00 PM,MD - UPCL||CE (Dist) Kumaon||SE (D) Haldwani||EE (Rural) Haldwani,30-Sep-2025 12:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU28TH5VVPDIXGVCujANKaw%3D%3D
153,2025_UPCL5_87466_1,[For Maintenance of Damage and Tilted Pole],24-Sep-2025 10:00 AM,MD - UPCL||CE (Dist) Haridwar||SE (D) Haridwar,09-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sncvydl%2BcKMDNQcys95Rsrw%3D%3D
154,2025_MDPEY_87006_1,"[CONSTRUCTION OF AYURVEDIC HOSPITAL BHAINSYARO, KHADI, TEHRI GARHWAL,UTTARAKHAND]",08-Sep-2025 05:00 PM,MD (Drinking Water) Peyjal Nigam GoUK||CGM (CW) - Dehradun||GM - Dehradun,03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzzdcKlsk9pfvnwfBSaJsyw%3D%3D
155,2025_pwd_87463_1,[Construction of Mahadevnagar guljarpur road Km 1 main road baddu ki chakki via joga singh house to harendra singh house road in Bazpur constituency Distt US Nagar under state sector],23-Sep-2025 06:00 PM,PWD||4th Circle U.S. Nagar,28-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMJh3XezjPth9VsErmbWPPg%3D%3D
156,2025_UPCLC_87606_3,"[Package G_ Undergrounding of HT and LT lines (S/s- Maneri Bhali , Veerbhadra and AIIMS) on turnkey basis under Revamped Distribution Sector Scheme in Uttarakhand State ]",29-Sep-2025 04:00 PM,SE-UPCL Corporate (Contract and Procurement)||SE Corporate||EE (CCP-III)||AE-2(CCP-III),29-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B1BKf6nYGIUVuheAdd%2BV9Q%3D%3D
157,2025_MDPEY_86571_1,[Construction of OHT Tube Wells Pump House Toilet Boundary wall and Laying and jointing of Rising Main and Distribution system of Indra Nagar Seemadwar Water Supply Scheme under SASCI Programme],25-Aug-2025 06:20 PM,"MD (Drinking Water) Peyjal Nigam GoUK||CE - Garhwal Zone||SE, Construction Circle, Dehradun",06-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sgq0ZZSuu9Cu2a2nO3R5plw%3D%3D
158,2025_UKJS_87110_5,[OPERATION AND MAINTENANCE WORK OF LANGHA AND TAULI WATER SUPPLY SCHEME UNDER HERBERPUR UNIT],12-Sep-2025 11:30 AM,CGM (Drinking Water) Jal Sansthan||GM (Head Office)||SE (Rural) Dehradun||Accountant Dehradun (Maint),03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2Fo7HeRH8Lb2MhNs%2FfXneCw%3D%3D
159,2024_UJVN_74253_1,[Electro Mechanical Works of 3x100 MW Lakhwar MPP],09-Aug-2024 05:00 PM,MD- UJVN||Director (Project)||GM (E and M Design)||DGM (Design-I),23-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FrbcZsAcL0m3%2BmOp6YMPog%3D%3D
160,2025_STDC_87685_1,[eTender for seeds production/processing/storage and marketing to Bihar Rajya Beej Nigam 2025-26],29-Sep-2025 04:30 PM,MD - Uttarakhand Seeds and Tarai Development Corporation Ltd. Haldi Pantnagar (U.S. Nagar),13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBsrffqmx40Otb7dR0BHEyQ%3D%3D
161,2025_pwd_86987_1,[Overall Infrastructure work in between Mandakini Edge and Temple Street. (IOCL)],08-Sep-2025 05:00 PM,PWD||11th Circle Dehradun,09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsmfODBd3AriG1U9X2RK8Gg%3D%3D
162,2025_pwd_86810_1,[Construction of Motor Road along Left Side of Nahar No-4 near Lohiya Bridge to Naugwathaggu Under State Sector.],01-Sep-2025 06:55 PM,PWD||4th Circle U.S. Nagar,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sg6ACGcGTYzAm3Qc83Er8pQ%3D%3D
163,2025_DSC_87559_1,[Filling of Brown Sugar and Cleaning of Boiling Machines/Equipments],25-Sep-2025 05:00 PM,Executive Director (Doiwala Sugar Company Ltd. Doiwala Dehradun),06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVzaBAmaQh7F%2BRCvBEVQHfA%3D%3D
164,2025_UTDB_87059_1,"[DEVELOPMENT, OPERATIONS AND MAINTENANCE OF FOOD AND CRAFT INSTITUTE, ALMORA FOR  TRAINING AND SKILL DEVELOPMENT IN HOSPITALITY, TOURISM AND ALLIED SECTORS]",10-Sep-2025 03:45 PM,CEO (Uttarakhand Tourism Development Board)||Director (Infrastructure),13-Nov-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVImipmQNld%2Fe00wJ3hfbLw%3D%3D
165,2025_NNR_87387_1,[NATIONAL CLEAN AIR PROGRAMME],22-Sep-2025 05:30 PM,Municipal Commissioner Nagar Nigam Rishikesh,04-Oct-2025 02:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvygaEWwZrVm7RPlLV3XqwA%3D%3D
166,2025_PTC12_87566_1,"[Work of replacement of punctured disc insulators string by anti-pollution polymer disc insulator strings at various towers at 132 KV Kashipur-Ramnagar(D/C) line connected to 132 KV Sub-station, Ramnagar]",25-Sep-2025 06:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,27-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYib%2FdmB6EkxmDnVkKZGUsQ%3D%3D
167,2025_UREDA_87645_1,[Design Manufacture Supply Erection Testing and],29-Sep-2025 11:00 AM,Director (UREDA)||Chief Project Officer||Dy. Chief Project Officer (SHP),13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPKsK%2FF9TwSLUy5h6PO%2BPng%3D%3D
168,2025_UPCL5_87331_1,[For Replacement of Weasel Conductor],22-Sep-2025 10:00 AM,MD - UPCL||CE (Dist) Haridwar||SE (D) Haridwar,08-Oct-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sx%2BhTSVqicf4NP1%2BvVNEIbQ%3D%3D
169,2025_pwd_87089_1,"[Under District Mining Trust Fund in District Nainital Constituency Lalkuan, The work of Strengthening the Halduchaur Gola Gate (from the Panchayat House to the Gola Gate) is being Carried out by DBM  BC]",11-Sep-2025 05:00 PM,PWD||2nd Circle Nainital,15-Oct-2025 01:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRJYlRrQZm4FpJlC8ktzndA%3D%3D
170,2025_IRDCE_87106_1,[Renovation of Nausar Auxilary Gul of Chhana Minor in Block DWARAHAT District Almora Under NABARD RIDF XXX Reach Head to Tail],12-Sep-2025 09:00 AM,IRD - Chief Engineer||Chief Engineer - Irrigation and Flood Kumaun Haldwani||Irrigation Work Circle - Almora||Irrigation Division - Ranikhet,03-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNfN7KtR6%2BL%2FC2aA76aLn4A%3D%3D
171,2025_UKJS_87515_1,[24x7 OPERATIONS AND MAINTENANCE WORK OF SEWRAGE SYSTEM AT KAULAGARH AND RAJPUR ZONE UNDER NORTH DIVISION DEHRADUN],24-Sep-2025 05:15 PM,CGM (Drinking Water) Jal Sansthan||GM (Head Office)||SE (Urban) Dehradun||AE Dehradun (North),07-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVsWwLCpEeOFl7s12sTkmKw%3D%3D
172,2025_MDPEY_87646_1,[REQUEST FOR PROPOSAL FOR PROCUREMENT OF CONSULTANCY SERVICES FOR Preparation of phase wise phase1 and phase2 DPR of sewerage work with considering existing sewer network SPS and STP for Uttarkashi town],27-Sep-2025 05:00 PM,"MD (Drinking Water) Peyjal Nigam GoUK||CE (HQ) - Dehradun||GM - Construction Circle, Ganga Haridwar||PM Const. And Maint. Unit Barkot",30-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuIzZFclvc5e0tGXiAWhRWA%3D%3D
