Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
418,2025_MoRTH_873462_1,41,[Maintenance Rectification Work under risk and cost for Rehabilitation and up gradation of NH 361 F of Section Kharwandi Navgaon rajuri Ch Km 00 00 to Km 36 900 Two lane lane with paved Shoulder configuration],14-Aug-2025 06:55 PM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH||NH Division-Aurangabad - MoRTH,14-Oct-2025 05:30 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SadsIihysCnUwomoV8Zr5cg%3D%3D
419,2025_KoPT_873398_1,41,"[Consultant for preparation of Feasibility Study, Detailed Project Report, Bid Process Management and Transaction Advisory for implementation of Export-Oriented Industrial hubs at Transport Depot Hide Road]",14-Aug-2025 06:00 PM,Kolkata Port Trust||Kolkata Dock System - KoPT||Civil - KDS||O/o Chief Engr. / Sr.Ex.Engr.(Contract) - KDS,14-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXM2rZ7UukIZGY9QTIVsEWA%3D%3D
420,2025_KoPT_873375_1,41,"[Operating and Maintaining Guest House of Syama Prasad Mookerjee Port, Kolkata]",14-Aug-2025 04:00 PM,Kolkata Port Trust||Kolkata Dock System - KoPT||Civil - KDS||O/o Chief Engr. / Sr.Ex.Engr.(Contract) - KDS,07-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHvLHcW35bPOT0cGNno4Okw%3D%3D
421,2025_IMSBP_873310_1,42,[SITC of Continuous Renal Replacement Therapy (CRRT Machine)],14-Aug-2025 03:00 PM,All India Institute of Medical Sciences-Bhopal,03-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMsvbuPkhXRXxk4kVr5IHCQ%3D%3D
422,2025_EIL_873279_1,42,[JP/B957-500-MA-T-6010/1022 -TANKAGES WORKS DR/CR/IFR (CS AND AL.) STORAGE TANKS OF BINA PETCHEM AND REFINERY EXPANSION PROJECT(BPREP) OF M/S BHARAT PETROLEUM CORPORATION  LIMITED (BPCL)],14-Aug-2025 02:30 PM,"Engineers India Limited,MoPNG||Head Office-Delhi,EIL,MoPNG",07-Oct-2025 12:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLR3s5pwUdpPWkyeGHi5BeA%3D%3D
423,2025_IMSRP_873202_1,42,[Supply and installation Digital Polymerase Chain Reaction System for Department of Biochemistry at AIIMS Raipur ],13-Aug-2025 06:00 PM,All India Institute of Medical Sciences-Raipur||Administrative Department - AIIMS Raipur,04-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SepNa3JaP8s%2FlRt38MzJU%2Bg%3D%3D
424,2025_MGIMS_873249_1,42,[Supply of Semi-Automated Multi-parametric Agarose Gel Electrophoresis System ],13-Aug-2025 06:00 PM,Mahatma Gandhi Institute of Medical Sciences,03-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2B3KOLo6Lt62u0WE0z0D2%2FQ%3D%3D
425,2025_AIIMS_873186_1,42,[RATE CONTRACT of Endoscopy Accessories for Department of Gastroenterology],13-Aug-2025 05:00 PM,All India Institute of Medical Sciences-Jodhpur,03-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Svauvm69uv6cFpsGd9DynVA%3D%3D
426,2025_MoRTH_873152_1,42,[Consultancy Services for preparation of Detailed Project Report for Construction of 4/6 laned High Speed Corridor/Expressway Bhavnagar Bharuch in the state of Gujarat],13-Aug-2025 03:30 PM,Ministry of Road Transport and Highways||Bharatmala Pariyojana and Special Projects (BPSP) Cell - MoRTH,14-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StKCSll8m%2BPNs4XbDfkzFKw%3D%3D
427,2025_MoRTH_873135_1,42,[Consultancy Services For Independent Engineer services for Widening to Two Lane with Paved Shoulder of NH 73 New Spur Road Ujire  Dharmasthala  Periyashanthi in the State of Karnataka under on HAM under NH O Annual Plan 2023 24],13-Aug-2025 02:30 PM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Bangalore - MoRTH,13-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYPV9IhcV2WPXaCIIUlh9Vw%3D%3D
428,2025_EIL_872996_1,42,"[JP/B862-101-PA-MR-5140/516 FOR PUMP ROTARY LOBE TYPE FOR PDH PP PLANT WITH ETHANE AND PROPANE HANDLING FACILITIES PROJECT OF PETRONET LNG LIMITED, DAHEJ (GUJARAT)]",12-Aug-2025 06:55 PM,"Engineers India Limited,MoPNG||Head Office-Delhi,EIL,MoPNG",06-Oct-2025 12:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr9RoES2srqk9pEbm9tPk0g%3D%3D
429,2025_MoRTH_873051_1,42,[Widening and Strengthening to 2lane with paved shoulder from Km 25.50 to 41.00 of NH 116B including bypass_realignment in Km 32.400 to 33.733 and Km 39.281 to 40.780 on EPC mode. _Job No. 116B/WB/2023-24/534.],12-Aug-2025 06:15 PM,Ministry of Road Transport and Highways||P3 Delhi - MoRTH||RO Kolkata - MoRTH||NH West Bengal PWD-Kolkata Directorate - MoRTH,09-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sl0h%2B81x0Xgzk0blR7CaAIg%3D%3D
430,2025_BandR_873062_1,42,"[DESIGN, SUPPLY AND CONSTRUCTION OF SHORE PROTECTION WORK WITH U TYPE HOT ROLLED STEEL SHEET PILE AND OTHER ANCILLARY WORK IN CONNECTION WITH CONSTRUCTION OF SHORE PROTECTION AGAINST MASSIVE EROSION TO SAVE CENTURY OLD IGWTP OF M/S KMC]",12-Aug-2025 06:00 PM,Bridge and Roof Company (India) Limited||Corporate Head Quarters Kolkata Office - B and R,07-Oct-2025 05:30 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUvI8AGK48mGQKGyc9dtMOw%3D%3D
431,2025_MoRTH_872956_1,43,[Performance based Maintenance Contracts PBMC Estimate of  upgradation of Chalisgaon Nandgaon Road Section III of NH753J of Jalgaon Bhadagaon Chalisgaon Nandagaon Manmad from Km. 103.00 to 104.300 and 122.250 to Km.147.425  Total length 26.105 Km. Two],12-Aug-2025 02:00 PM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH||NH Division-Pune - MoRTH,10-Oct-2025 05:30 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SR0sC65efMs05vP1uaXV0wg%3D%3D
432,2025_AIMSD_872887_1,43,[High End 3D Surgical loupes with camera],12-Aug-2025 10:00 AM,All India Institute of Medical Science-New Delhi||Plastic Surgery - AIIMS New Delhi,10-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FCy7PO7EJWUWJYO%2F%2FOkD6w%3D%3D
433,2025_AIMSD_872860_1,43,[High End Surgical Drill System with attachments],12-Aug-2025 09:00 AM,All India Institute of Medical Science-New Delhi||Plastic Surgery - AIIMS New Delhi,10-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Swuay3d1BnpLKP3I4hnYdxg%3D%3D
434,2025_AIMSD_872885_1,43,[Ultrasound assisted power liposuction system],12-Aug-2025 09:00 AM,All India Institute of Medical Science-New Delhi||Plastic Surgery - AIIMS New Delhi,10-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFOfbs4LF7DwtvJhrVAopMQ%3D%3D
435,2025_AIMSD_872827_1,43,[Integrated Difficult Airway scope system],11-Aug-2025 05:00 PM,All India Institute of Medical Science-New Delhi||Plastic Surgery - AIIMS New Delhi,10-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShqS%2FYoPocRjLGkxbe5qbnQ%3D%3D
436,2025_AIMSD_872815_1,43,[3D PRinter Hardware and Machine Interface software],11-Aug-2025 05:00 PM,All India Institute of Medical Science-New Delhi||Plastic Surgery - AIIMS New Delhi,06-Nov-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNiJiGm1fiJcAAU0YtbofSg%3D%3D
437,2025_KoPT_872814_1,43,"[SELECTION OF AN AGENCY FOR OPERATION, MAINTENANCE AND MANAGEMENT OF FAIRWEATHER CLUB COMPLEX AT 58, KARL MARX SARANI (FORMERLY C.G.R ROAD), KOLKATA - 700043]",11-Aug-2025 04:30 PM,Kolkata Port Trust||Kolkata Dock System - KoPT||Civil - KDS||Sr.Ex.Engr.(DEV) - KDS,14-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXlp7bj5ir6AwiKDtO505Wg%3D%3D
438,2025_DMRC_872741_1,43,[Property Development on 9415.75 sqm (FAR) Above Dhansa Bus Stand Metro Station of Line-9.],11-Aug-2025 12:00 PM,Delhi Metro Rail Corporation Limited||ED/Contracts - DMRC,30-Sep-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SG1wCTaBBQhHZQIrt2klzsA%3D%3D
439,2025_DPS_872371_1,43,[Supply of Zirconium Washed and Dried Frit],09-Aug-2025 06:30 PM,Directorate of Purchase and Stores||Hyderabad Regional Purchase Unit Hyderabad - DPS,14-Oct-2025 02:30 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIrA6qJ2NSVcDBZngyDjNTw%3D%3D
440,2025_MoRTH_872636_1,43,[Rehabilitation and up-gradation to 4-lane configuration of Kashipur to Ramnagar road from chainage km 5.735 to km 24.00 of NH-121 (km 64.735 to km 83 New NH-309) (18.265 km) on EPC Mode in state of Uttarakhand under NH(O) Annual Plan 2023-24],09-Aug-2025 02:00 PM,Ministry of Road Transport and Highways||P1 Delhi - MoRTH||RO Dehradun - MoRTH||NH Uttarakhand PWD-Haldwani - MoRTH,14-Oct-2025 02:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SM5tCKiU%2F0YfAS4BqqpPaBw%3D%3D
441,2025_IMSRP_872642_1,44,[Supply and installation of Benchtop LCMS/MS System for Biochemistry Department at AIIMS Raipur],08-Aug-2025 06:00 PM,All India Institute of Medical Sciences-Raipur||Administrative Department - AIIMS Raipur,04-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgnPhEZQ6fUfUT%2BEV34Z7qQ%3D%3D
442,2025_AIMSD_872548_1,44,"[Digital Anaesthesia Machine with Digital Vaporisers, with Integrated Charting System]",08-Aug-2025 01:00 PM,All India Institute of Medical Science-New Delhi||Set Facility - AIIMS New Delhi,03-Oct-2025 04:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SF76npwgp97Ndv9XZP5eNFg%3D%3D
443,2025_NHPC_872437_1,44,"[Work of  SITC (Supply, Installation, Testing and Commissioning) and 5 years AMC of 4 Nos. of Accelerograph for Dam site of Chamera Power Station-II]",08-Aug-2025 10:00 AM,NHPC Limited||Chamera-II Power Station-NHPC,03-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1xZIv6wSjVop0t9GUCaSsQ%3D%3D
444,2025_MoRTH_872514_1,44,[Consultancy Services for Authoritys Engineer for Supervision of Construction of 2LPS Configuration Gangapur City Bypass on NH23 on EPC mode in the State of Rajasthan],08-Aug-2025 09:00 AM,Ministry of Road Transport and Highways||P4 Delhi - MoRTH||RO Jaipur - MoRTH,30-Sep-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BGIsA4uDSBytvbfVqml1fg%3D%3D
445,2025_MoRTH_872511_1,44,[Consultancy Services for Authority Engineer for Supervision of Construction of 2LPS Configuration Karauli Bypass on NH23 on EPC mode in the State of Rajasthan],08-Aug-2025 09:00 AM,Ministry of Road Transport and Highways||P4 Delhi - MoRTH||RO Jaipur - MoRTH,30-Sep-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNzJ6l%2BpH52039LFDdmUc4Q%3D%3D
446,2025_NMPT_871950_1,44,"[Balance work of Construction of break water, marine structure with allied  civil works, dredging and reclamation for fishing harbour at  Kulai, on EPC basis]",07-Aug-2025 06:30 PM,New Mangalore Port Trust||Civil Engineering Department-HQ - NMPT,14-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdcmyQaN4Hgw36AWugrKMUQ%3D%3D
447,2025_BSF_872434_1,44,[Outsourcing of Job Service to conduct Written Examination through Computer Based Test CBT for filling up vacancy of Non-GD Post in BSF CAPF ],07-Aug-2025 06:00 PM,"DG,BSF,MHA||Prov Dte, Proc Cell(New Delhi),BSF,MHA",15-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Syg8tbpPbv8NZBmnLb3722w%3D%3D
448,2025_IMSRP_872446_1,44,[upply of Flow  Cytometer],07-Aug-2025 06:00 PM,All India Institute of Medical Sciences-Raipur||Administrative Department - AIIMS Raipur,07-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S3ljERh4fri8ZoRi%2FoL0bVQ%3D%3D
449,2025_IMD_872325_1,44,[Procurement of 10 Nos. of Wind Profiler Systems],07-Aug-2025 05:20 PM,India Meteorological Department - IMD,30-Sep-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU8DE0R6eDjtBrVO%2FNdhmeA%3D%3D
450,2025_MoRTH_872430_1,44,[Construction of Minor bridge along with approaches at km 141.380 of NH-216 across Gudavelli in the state of Andhra Pradesh on EPC Mode under NH(O) for the year 2025-26],07-Aug-2025 05:00 PM,Ministry of Road Transport and Highways||P7 Delh - MoRTH||RO Vijayawada - MoRTH||NH Division-Vijayawada - MoRTH,07-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCWaWR%2FLgKRoNZqyi4zmoWw%3D%3D
451,2025_MoRTH_872430_1,45,[Construction of Minor bridge along with approaches at km 141.380 of NH-216 across Gudavelli in the state of Andhra Pradesh on EPC Mode under NH(O) for the year 2025-26],07-Aug-2025 05:00 PM,Ministry of Road Transport and Highways||P7 Delh - MoRTH||RO Vijayawada - MoRTH||NH Division-Vijayawada - MoRTH,07-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCWaWR%2FLgKRoNZqyi4zmoWw%3D%3D
452,2025_MoRTH_872409_1,45,[Work of widening and strengthening from 2l PS to 4 lane with Paved shoulder from km 0/600 to km 8/200 of NH 848B of Valsad district in the state of Gujarat total length 7.60 km on EPC mode],07-Aug-2025 03:00 PM,Ministry of Road Transport and Highways||P4 Delhi - MoRTH||RO Gandhinagar - MoRTH||NH Division-Bharuch - MoRTH,03-Oct-2025 12:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SyNzBBaJGAqK5sXsUuM06aQ%3D%3D
453,2025_DCHC_871614_1,45,"[Public Private Partnership in Equip, Operate, Maintain and Transfer (EOMT) of Mall Block of the Crafts Complex, Vasant Kunj, New Delhi]",06-Aug-2025 05:00 PM,Development Commissioner(Handicrafts)||Regional Office-Lucknow(UP) - DCHC,07-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SerklEChBfcFi%2B00kH0b32Q%3D%3D
454,2025_MoRTH_872132_1,45,[Consultancy services for Authoritys Engineer for supervision of Construction of Major bridge Ahilya Bridge on bhima River at Km 37.765 along with approaches on Tembhurni Pandharpur Mangalwedha road and construction of balance from Km 36.190 to Km 37.],06-Aug-2025 10:30 AM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH||NH Maharashtra PWD-SOLAPUR - MoRTH,01-Oct-2025 05:30 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRUm5cJM6n4zZpxtup%2FI0vw%3D%3D
455,2025_IMSRP_872010_1,45,[Supply of ICU Ventilator With Integrated Metabolic Monitoring /  Automatic Closed Loop Weaning With PAV (Proportional Assist  Ventilation)],05-Aug-2025 06:00 PM,All India Institute of Medical Sciences-Raipur||Administrative Department - AIIMS Raipur,18-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUkX%2FNjxr2j6zAzyLhbAKwg%3D%3D
456,2025_MoRTH_871990_1,45,[Consultancy Services for DPR Preparation of Rehabilitation and Upgradation to 4-lane configuration from Una to Birhu and Lathiani to Bhota of NH-503A and Construction of Missing Link of NH-03 from Km 250/592 to Mandi Bypass in Himachal Pradesh.],05-Aug-2025 05:00 PM,Ministry of Road Transport and Highways||P1 Delhi - MoRTH||RO Shimla - MoRTH,06-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfNWkNxknpVh5c7oX%2FrCLUw%3D%3D
457,2025_EIL_872053_1,45,"[SG/B933-052-PA-MR-5710/58 - PUMP-ROTARY.SCREW, PUMP-ROTARY GEAR]",05-Aug-2025 05:00 PM,"Engineers India Limited,MoPNG||Head Office-Delhi,EIL,MoPNG",06-Oct-2025 12:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUBpxUdKR7LzC50HYitWPvA%3D%3D
458,2025_MoRTH_871944_1,45,[PMC Servicaes for Construction of 2 Lane bypass of Karnaprayag 4km bypass with tunnels 2.89 km Panduwakhal bypass 10km with tunnels 1.795 km Kainchidham bypass 1.9km with 0.325 km tunnel Bageshwar bypass 2.38 km with 1.1 km tunnels],05-Aug-2025 01:15 PM,Ministry of Road Transport and Highways||P1 Delhi - MoRTH||RO Dehradun - MoRTH||NH Uttarakhand PWD-NH-Section-Dehradun - MoRTH,03-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sc8xy5V%2Fj%2BpIvCZv09vDwUQ%3D%3D
459,2025_IWAI_871860_1,45,"[DESIGN, CONSTRUCTION, SUPPLY, TESTING AND COMMISSIONING OF 10 nos 20 PAX HYBRID ELECTRIC PASSENGER FERRY ]",04-Aug-2025 06:50 PM,"Inland Waterways Authority of India,MoS||HO Noida,IWAI,MoS",16-Oct-2025 06:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SffmIkyIZExnABU%2Fw%2BskpiA%3D%3D
460,2025_IMSRP_871887_1,45,[Supply of Flat Panel Mobile C-arm  and Fluoroscopy System],04-Aug-2025 06:00 PM,All India Institute of Medical Sciences-Raipur||Central Store - AIIMS Raipur,30-Sep-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKg4r6FJ7cFhUzEA7E6HXzg%3D%3D
