S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
4,2025_BMH_270311_1,1,Providing Jan Aushadhi Kendra at AAAGH,Bhagwan Mahavir Hospital,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKim9y5q2ATbXaoLD%2ByXQLA%3D%3D
1,2025_PWD_272719_1,1,"Strengthening of Outer Ring Road (Chirag Delhi Flyover to IIT Flyover) (ID-1369), A-1 Block, Panchsheel Enclave Road (ID-537) and SMA on Flyovers- IIT Flyover, Panchsheel Flyover and Chirag Delhi Flyover through cold milling and recycling process",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SS2eiroDl%2BQ8wDQik00cpzA%3D%3D
2,2025_PWD_272640_1,1,"Comprehensive Repair and maintenance to various roads under Division South Road-2, PWD during 2025-26 and, 2026-27. (SH_ Hiring and Operating tractor mounted PTO driven positive displacement Rotary Lobe Pumps set under Sub Division-I, II,III, and IV",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPTyB1hZQIKTpR1%2BR370vpA%3D%3D
3,2025_PWD_272532_1,1,"A/R and M/O to Various roads under Sub Division -II of Division South Road -II PWD, New Delhi During 2025-2026. (SH_ Repair of damaged berm portion and footpath, installation of gantry signage boards at N.K.Pandey Marg and Hauz Khas Village Road PWD",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SEOFBrFsfemailMVYS8ujPw%3D%3D
4,2025_PWD_271750_1,1,"Restoration of  Panchukiya Road and Rani Jhansi Road cut by Indraprastha Gas Limited under jurisdiction of Sub Division-I, SRD Project Division-II, PWD New Delhi during 2025-26.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S91YCmuoC%2BjWDHxkSzPPjgA%3D%3D
5,2025_PWD_271144_1,1,MOEI and fans RMO pump set ic compound lights at DII Flats Vasant Kunj New Delhi ,Public Works Department||CE/SE/M4-M45||EE/M453,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SYPM%2B3p65lKTcM800xbrZNQ%3D%3D
6,2025_PWD_270824_1,1,MOEI and fans RMO pump set street compound lighat at Delhi Archive Building New Delhi,Public Works Department||CE/SE/M4-M45||EE/M453,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SG8IiobHrP%2BlDC5WcZ2oJzg%3D%3D
7,2025_PWD_270814_1,1,MOEI and fans RMO pump set AC units DG set at DC Office Saket New Delhi,Public Works Department||CE/SE/M4-M45||EE/M453,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwAOW1AFGi1FGT8yzV7hFig%3D%3D
8,2025_PWD_270810_1,1,MOEI and fans and other electrical services in PWD offices under PWD Electrical Divison South New Delhi,Public Works Department||CE/SE/M4-M45||EE/M453,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Syl%2BEBDZ6ZJyGNMg4NaqtJw%3D%3D
9,2025_PWD_270577_1,1,"Supplying, installation, testing and commissioning of Pump House Plant Automatization and Management System with Microprocessor based control panel, online monitoring, wireless connectivity with complete Scada Software for Rain Water, Dewatering and ",Public Works Department||CE/SE/M4-M45||EE/M453,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SZ0KG0X%2BMpyKS5daEoOq1ug%3D%3D
