S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
4,2025_BHEL_43647_1,1,REMOVAL OF GENERATOR STATOR FROM ITS POSITION  LOADING UNLOADING OF STATOR   ROTOR AND RE INSTALLATION OF THE STATOR AT POSITION IN 250 MW UNIT 3 AT SSTPS SURATGARH RRVUNL,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMqE%2BYFBTi8MZdAqNPJNf2g%3D%3D
5,2025_BHEL_43546_1,1,"Additional works for Generator rotor replacement and manpower assistance for rotor repair works as per SOW at Unit No.8, APGENCO Dr. NTTPS 800MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S4ZaRoYqdIPV9JfhXyHY6uA%3D%3D
6,2025_BHEL_43535_1,1,Casted Aluminum DS ES Enclosure and Drive Housings,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBH53M7b8MUfmmer1Q%2Ba9Lg%3D%3D
7,2025_BHEL_43533_1,1,Installation of CTs and PTs for load deration of R and D,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SM5PAsms5SOZXZDKUQwNWeA%3D%3D
8,2024_BHEL_43299_1,1,MAINTENANCE OF TURBINE GENERATOR AND ITS AUXILIARIES OF HYDRO UNIT 1234 OF NTPC KOLDAM HEP 4X200MW,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SiTMkHyxy3DvDO%2F06TYVSXQ%3D%3D
9,2024_BHEL_43224_1,1,OVERHAULING OF UNIT 6 500 MW GENERATOR AND ITS AUXILIARIES AT NTPC RIHAND,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SepUWSFUaAbsbcn1drwVkyQ%3D%3D
10,2024_BHEL_43131_2,1,Operation and Basic Maintenance of Crawler Cranes,Bharat Heavy Electricals Limited||HPEP - Hyderabad,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPAFpaXpXBOJXjsk2qfEbyw%3D%3D
11,2024_BHEL_43027_1,1,CAPITAL OVERHAULING OF TURBINE OF  UNIT  5 AND LPT OVERHAULING OF TURBINE OF  UNIT  3 OF 210MW LMZ DESIGN AT NTPC VINDHYACHAL,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrXRrZi4MfS2%2BcB3plxzjUQ%3D%3D
12,2024_BHEL_42968_1,1,Transportation of circuit breaker components to Ms KERI for Testing,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Si2XT15s5Kb65gCysYVFHCQ%3D%3D
13,2024_BHEL_42932_1,1,Complete overhauling of Gas Turbine generator as per SOW at TANGEDCO Kuttalam GTPS 69.65 MW,Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2WMg%2FF8oSY%2FdlR2dTRXE1g%3D%3D
14,2024_BHEL_42795_1,1,LAMFIX,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SVdFodW%2BD943iTDAPi3unjg%3D%3D
15,2024_BHEL_42675_1,1,"Replacement of LP Turbine blades, Replacement of IPCV, SV studs and associated works as per SOW at UNIT 3, KPCL Bellary TPS 700MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SL2y%2BxMicw2xPWnM1NRf%2FYA%3D%3D
16,2024_BHEL_42409_1,1,"Additional works of Existing coal nozzle modification works as per SOW at Hindalco HIL-AAP, Lapanga 150M",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKDOyDEl8OBbBVAubjNXgIg%3D%3D
17,2024_BHEL_42361_1,1,CAPITAL MAINTENANCE AND UPGRADATION OF GOVERNOR DVR  PROTECTION PANELS AT LARJI HYDRO ELECTRIC PROJECT UNIT 1 3X42 MW,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SNUHnBOGRWRf4pjROhNKxsw%3D%3D
