S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
5,2024_APWD_16948_1,1,"Construction of protection wall in the land sliding Zone which exists from Plot No. 124, 128, 121 and 117 at Industrial Estate, Dollygunj under CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sg58ixuHS9Tjqp81sG%2FmvSA%3D%3D
6,2024_APWD_16889_1,1,"Repair and renovation of 16 Nos. Ty-II Qtr. No. 145 to 148 (D-S) 213 to 218 (T-S) and 219 to 224 (T-S) at Satellite Township Colony under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S1l26HQzt0Y9YUqig9YEyFg%3D%3D
7,2024_APWD_16540_1,1,Renovation of existing toilet block near shed No. A-6 and A-7 at Industrial Estate Dollygunj.,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S6848uCxlvMg787F2a9piHQ%3D%3D
8,2024_APWD_16454_1,1,"Repair and renovation of existing children park at Chakkargaon under Section-I, SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sw0KNJiNbhaRtXiQv4scSog%3D%3D
9,2024_APWD_16443_1,1,"Annual repair and maintenance of residential quarters for Type-I, II and III under SD-IV, CD-II, APWD, Prothrapur during the year 2024-25.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2FO9S9aPTtq%2BjucFsQr5W%2FQ%3D%3D
10,2024_APWD_16417_1,1,"A-R and M-O Residential Building for Type-I, II and III under SD-II, CD-II, APWD, Pothrapur during the year 2024-25.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SlLrnF%2BaVchJGtUSFqFPuYg%3D%3D
11,2024_APWD_16410_1,1,"Annual Repair and Maintenance of Residential Building under SD-III, CD-II, APWD, Pothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjcHb7r%2ByenQ6yufkklAAsw%3D%3D
12,2024_APWD_16001_1,1,"Repair and renovation of Type-III Qtrs. Block No. 9 and 10 (Qtr. No. 47 to 58) at Chakkargaon under SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Si8o2dMTKl6rFwLap6hSH9g%3D%3D
13,2024_APWD_15822_1,1,"Repair and renovation of 02 Nos. Ty-III Qtrs No. 1 and 2 inside APWD Complex under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2BL22Rl4kRnB48xAV66oXFQ%3D%3D
14,2024_APWD_15821_1,1,"Repair and renovation of Type-I Qtrs from No. 57 to 68 Block 11 and 12 under SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SydsR1j94kRuVDfyO%2BTvEVg%3D%3D
