S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
2,2025_NTPC_99021_1,1,Nallah cleaning from 8 cell culvert to Rajiv Rahadari for Telangana Project Area.,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SJBVMa6bgGne2WXdFGl1%2FRA%3D%3D
3,2025_NTPC_98543_1,1,Supply of Traction Battery for Forklift at NTPC Barauni.,NTPC Limited||Eastern Region - I Headquarter||Barauni Thermal Power Station,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SM%2F5SxK0qq2EaqtfdRx5hWA%3D%3D
4,2025_NTPC_98281_1,1,Construction of Boundary Wall in Muktidham in village Karra under CSR-CD,NTPC Limited||Western Region - II Headquarter||Sipat Super Thermal Power Station,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SujNLCIQjvKyUWd6%2FyErDmA%3D%3D
5,2025_NTPC_98094_1,1,CONSTRUCTION OF EXIT/ENTRY RAMP WITH BITUMINOUS CONCRETE TOPPING INTO ORFROM ASH DYKE FOR HEAVY VEHICLE MOVEMENT at KHARGONE STPP ,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sjm07nuaV831DY4Ztf37fig%3D%3D
6,2025_NTPC_98093_1,1,"PROVIDING and  FIXING ACID/ALKALI RESISTANT TILES and ASSOCIATED WORKS INDM PLANT N-PIT, ETP GUARD POND AREA OF STAGE2 OF NTPC BARAUNI TPS",NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQDJRC27zS4az1uCoc3leVQ%3D%3D
7,2025_NTPC_97806_1,1,"DESIGN, SUPPLY, INSTALLATION, COMMISSIONING, TESTING, OPERATION and MAINTENANCE OF AUDIO-VISUAL SYSTEMS FOR THE CONFERENCE HALL OF NTPC KHARGONE.",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SFE%2Fzl46loqhn3lPv4%2FViFQ%3D%3D
8,2025_NTPC_97661_1,1,Contract for Air seal Works during Boiler OH ( FY 2025 -2026) for TSTPS,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SyDG%2Fq08uwN%2Frfst8ZYG9ow%3D%3D
9,2025_NTPC_97463_1,1,ARRESTING OF WATER SEEPAGE IN UNDERGROUND GALLERY OF CONVEYOR 30 A/B ATNTPC BARH,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SVooAf4SP6atSEzEKdL02Uw%3D%3D
10,2025_NTPC_97330_1,1,Procurement of FASP Motor for NTPC Farakka Stage-2.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2B97cTZgryZLNyL8gHvCpwA%3D%3D
11,2025_NTPC_97014_1,1,"EXTERNAL AND INTERNAL AREA REPAIR AND PROTECTION OF RCC STRUCTURES OF 2NOS. COOLING TOWERS (CT-7A AND 7B) AND CWPH, WTP STRUCTURES OFSTAGE-III AT NTPC RAMAGUNDAM",NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKTH8f1mXASF4hf2rrOUmBQ%3D%3D
12,2025_NTPC_97000_1,1,"Repair of concrete structures, Strengthening of Machine foundations androof water proofing works at NTPC Simhadri",NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8V6m2mHvC4%2FSb%2Be%2FdcWbuw%3D%3D
13,2025_NTPC_96855_1,1,PMC contract for the works of EI S and T and associated civil works of Goomty 3 scope as per RDSO Railway standard in TeSTPP siding and itsintegration,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SlV7tVBcvbEwXxixVGvaV2w%3D%3D
14,2025_NTPC_96847_1,1,Modification and strengthening of ROR line at Barh STPP,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SvobjhXjjd0yB0lEEr77g5w%3D%3D
15,2024_NTPC_92735_1,1,"Procurement of 01 no of 1300KW,6.6KV, STG-1 ID Fan MOTOR for NTPC Farakka.",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCh2KQ4zAncD8B38w7XSoqA%3D%3D
1,2025_NTPC_96553_1,1,Removal of Mill reject material mixed with or without earth from,NTPC Limited||Western Region - II Headquarter||Sipat Super Thermal Power Station,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGy3VktTeuEgUzyFvwIN37A%3D%3D
2,2025_NTPC_96422_1,1,"Repair and maintenance of Civil works in Stage-II, PTS.",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Shj3%2FlzP9tjKcKquOqY2TdA%3D%3D
3,2025_NTPC_96403_1,1,Repair work of road at Gupta-Lakhminiya embankment within NTPC Stage-1 and Stage-2 areas,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=StFYvM9f4SY5VCx370uiLVw%3D%3D
4,2025_NTPC_96284_1,1,Development of Park and Cycle track at TTPP Township.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sf5ZDSCID%2FOI35Dd7VZyFDQ%3D%3D
5,2025_NTPC_96246_1,1,Construction of 11KV substation Building inside SSTPS Township,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SNiW%2BK6oGyLUtABI0SCqoHw%3D%3D
6,2025_NTPC_96075_1,1,Annual Maintenance contract for Civil maintenance works in Main Plant,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2F6FaorD%2BH7PztL3FtnKomQ%3D%3D
7,2025_NTPC_96062_1,1,Biannual contract for Civil Maintenance and Misc. Civil works in Plantat NTPC Kudgi,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SRtjIFBhDlB%2Fe9qFZeUgaiw%3D%3D
8,2025_NTPC_95865_1,1,Construction of check dam and ash cleaning in Suryanala at SSTPS.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S0%2BKKxjl4sLv9NB2WRHNv7g%3D%3D
9,2025_NTPC_95858_1,1,Annual Painting works of Plant Buildings and Miscellaneous paintingworks at NTPC Mouda,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ShCVI5L6Y%2FQ3u9fqjmh3Qig%3D%3D
10,2025_NTPC_95747_1,1,Online Classroom Coaching for the wards of NTPC employees studying in class 8th to 12th in NTPC Project Schools and other locations,NTPC Limited||Corporate Centre||HR - Contracts and Procurement,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sz6rceE1AwFEEZIN%2FJj2EHA%3D%3D
11,2025_NTPC_95639_1,1,CONTRACT FOR APPLICATION/REPAIR OF PU COATING IN SEA WATER PIPELINES,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SDl%2BM%2Fr65Vve3M%2FbbEPggqg%3D%3D
12,2025_NTPC_95476_1,1,Construction of RCC culvert in MCL mines area for Ash slurry pipe linecrossing road for MVF TSTSP Kaniha,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9Xwn1N%2BtFQjo0ZS6Ai319g%3D%3D
13,2025_NTPC_95384_1,1,Construction of coal sample preparation sheds in Stg-I Stg-II CHP and Shed at Employee gate in Stage2 at NTPC Barauni TPS.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMRgkM51sBGWjUE%2B3ip63Eg%3D%3D
14,2025_NTPC_95206_1,1,Upgradation of 08 nos Kone make lifts installed at NTPC EOC Noida,NTPC Limited||Corporate Centre||HR - Contracts and Procurement,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sx4KzBtYVatags90A22pZCw%3D%3D
15,2025_NTPC_94896_1,1,Internal PCC road construction in Village Khaira.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sm9MTa36%2Bb4nTJbTKUowMFQ%3D%3D
16,2025_NTPC_94524_1,1,Construction of 01 No Watch tower and bunker wall near mine entry exit,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLF9YAQOyYehSiTwJMLbiRw%3D%3D
17,2025_NTPC_94448_1,1,Construction of Foundation in fixed type conveyor for KDCMP,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGUf%2BX2oifLXRX2Schl72rQ%3D%3D
18,2025_NTPC_94326_1,1,Modification of Inter connecting Transformer (ICT) Foundation at NTPC-Mouda,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SJ4qeBgFWsi0yyQ7PSzSPQA%3D%3D
19,2025_NTPC_93709_1,1,Construction of PQC Road from West pit Stockyards to Wharf walls in TLCMP,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2BqyMXRr29K6Y21UtK9Xo2w%3D%3D
20,2025_NTPC_93585_1,1,ANNUAL CIVIL MAINTENANCE WORK FOR R and R COLONY DHENGA OF PB CMP,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SY0XqejHuO%2FnN5HgflSM%2FHg%3D%3D
21,2024_NTPC_93135_1,2,"Supply, Installation and Commissioning of multipurpose hall AV system for TTPP Stage-III (2x660MW)",NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjbNWUPYqBYFT%2F%2BfaE6YMvQ%3D%3D
22,2024_NTPC_93109_1,2,Coal Handling Plant Part B-Package-1 (Retendered) of KDCMP.,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SnsTVpvYrqi0G%2FZ53qWhFmg%3D%3D
23,2024_NTPC_93090_1,2,"Repair, Renovation and modifications of existing NTPC Ghaghoda office",NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPPgJJeYvEprVU0cBYiaWIA%3D%3D
24,2024_NTPC_93038_1,2,"Supply, installtion and commissioning of 50 nos face reader attendencemachine for CLIMS and employees at NTPC Solapur",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SUfzEAtSki07C6hO4xxjw7g%3D%3D
25,2024_NTPC_92238_1,2,Job contract for RnM Civil works of Unit-7 UCB of Stage-II at NTPC Vindhyachal.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKhPyDsNlI8OJBrMkZv%2FY7A%3D%3D
26,2023_NTPC_82584_1,2,Street Lighting of Ash Dyke Area of NTPC Gadarwara,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMCXF1ccX%2FuPwyTLI38E3yA%3D%3D
27,2023_NTPC_82576_1,2,800057409 SUPPLY INSTALLATION TESTING COMMISSIONING AND AMC OF 4 NOSSOLAR HIGH MAST LIGHTING SYSTEM in Project affected Villages of NTPC Koldam Hydro Power Statio,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Se5wFi13JJLr2R09Qh7P4NA%3D%3D
28,2022_NTPC_61980_1,2,"Renovation and Modernization of Trippers, Paddle Feeders and Stacker",NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Syf5NEeqUqYcDXfRNm0%2BzYQ%3D%3D
1,2025_NTPC_95722_1,1,Helipad functioning works at NTPC Gadarwara,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9jSqGKvJfD9mUNbLPfdKlg%3D%3D
2,2025_NTPC_95516_1,1,"Supply, installation and commissioning of musical decorative fountains in NTPC Barh Township",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWHNRkCQhrSRqqXTrfNlZiA%3D%3D
3,2025_NTPC_94769_1,1,Roof Waterproofing of various building at NTPC Korba,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SRh4%2FHhWV8nRYr8Kxb0DODg%3D%3D
4,2024_NTPC_92849_1,1,Replacement of roof sheets for ESP at NTPC Simhadri,NTPC Limited||Corporate Centre||USSC||CPG-1,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SB4MbgO4hmBlAHK1WojyQ%2Fg%3D%3D
1,2025_NTPC_98217_1,1,Strengthening and Capacity Building of Jordag-Lavaniya Road during monsoon for CBCMP.,"NTPC Limited||Coal Mining||PakriBarwadih,Kerendari,ChattiBariatu Mining Proj",AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjPHQ1qC2pP1zeZk4xJdBHw%3D%3D
2,2025_NTPC_97764_1,1,Execution of Brick paving work inside TSTPS Kaniha,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SM7vQQ6qBzH0G2g9AR8ibiQ%3D%3D
3,2025_NTPC_97611_1,1,Construction of RCC peripheral drain and RCC sump pit in ash Silo Stage-III inside plant area at NTPC Rihand,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SHiN9vAbYv0k6sQ2Vo10cZQ%3D%3D
4,2025_NTPC_97538_1,1,Execution of Works at Anganwadi centers and Schools of Bantol GramPanchayat near NTPC Talcher Thermal,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sf%2BG50nzQlRmggSe1tgRk%2Fg%3D%3D
5,2025_NTPC_97456_1,1,Construction of armoury Building with fencing of armoury Building at BTPS Township.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScAMEHt2j%2B%2BMLG8vTnLCheg%3D%3D
