Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RDnPR_2943_1,1,[Construction of Girls Toilet (SH Civil Work/ SH WSandSI/ SH IEI) in 16 (sixteen) nos. for Primary and 3 (three) nos. for Secondary Schools under Education(S) and TA and Hills with funding from NABARD (RIDF) 2022-23.],16-Sep-2025 12:00 PM,Rural Development and Panchayati Raj||DRDA||DRDA Tengnoupal,03-Oct-2025 04:00 PM,https://manipurtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUR3Rk2IwpF1xVujA3A8uZQ%3D%3D
2,2025_MSPDC_2940_1,1,[Electrification of tribal household in the state of Manipur through off grid mode under New Solar Power Scheme of DA JGUA.],12-Sep-2025 06:00 PM,Manipur State Power Distribution Company Limited||Managing Director - MSPDCL||Manager - MSPDCL,03-Oct-2025 11:00 AM,https://manipurtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAx3TWhHcIy9am7%2F6mv%2BakA%3D%3D
