S.No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
5171,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[281- graam kudha mein gurudeen ke daravaaje se baaba shaheed taalaab tak rcc naala nirmaan kaary.],[1331/zpbbk date 02-09-25][2025_UPPRD_1071270_77],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiUTdS4qnbLFbhUNe6KFIdA%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4889,08-Sep-2025 10:00 AM,29-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,[Gram Jagatpura Gadiya se khama sampark marg ka anurakshan karya],[914/zpm/nivida/2025-26 Date-06-09-2025][2025_UPPRD_1071937_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FIYXc7oCPQwk6KwNQ8KvzA%3D%3D,Panchayati Raj Department||Zila Panchayat Mahoba
5172,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[260-Gram Sabha Tanda Mai Vijay Pal Ke Ghar Se Ram Jeeyavan Ke Ghar Tak RCC Nala Nirman Karya],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_80],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0FYNZ6cOg1gp2y%2BIDcThMQ%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
5173,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[270- richalee gaanv mein vishaal ke ghar se taalaab tak rcc naala nirmaan kaary.],[1331/zpbbk date 02-09-25][2025_UPPRD_1071270_76],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4%2BgYH3E2X2Poz9OdZ9nvWw%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4890,08-Sep-2025 10:00 AM,29-Sep-2025 12:00 PM,29-Sep-2025 02:00 PM,[Vibrated rubber molded CC interlocking tiles road and drain construction work in ward no. 21 Mohd. Azad Vihar from Moti house to Pappu Singh house in Khoda-Makanpur.],[392][2025_DOLBU_1037414_86],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SV7kI5mhZwKsb216tKc88Cg%3D%3D,Directorate of Local Bodies UP||Nagar Palika Parishad Khoda Makanpur Ghaziabad
5174,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[259-Gram Panchayat Kusheri Mai RCC Nala Nirman Karya],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_79],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Bkcqm5V0F2414NBuDxCt2g%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4891,08-Sep-2025 10:00 AM,22-Sep-2025 01:00 PM,22-Sep-2025 01:30 PM,[Protection work of damaged floor and bank in the down stream of cross regulator located at Km 33.000 of Upper Narayani branch in District-Maharajganj],[07/SE/2025-26][2025_UPIDC_1072114_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOVkBNeGFtKQg%2FY1jvO4mBg%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur"
5175,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[282- graam panchaayat saheliya mein graam debiyaapur se gauriyaaghaat rod taraf rcc naalee nirmaan kaary],[1331/zpbbk date 02-09-25][2025_UPPRD_1071270_78],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUKuTEw2KNvtcgv63LYLRTA%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
5176,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[251-Dharupur Se Pahalwanpurwa Tak Lepan Nirman Karya. ],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_78],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZmjxfSR60g4TjjmnOqIDNw%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4892,08-Sep-2025 10:00 AM,29-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,[Gram Belatal me damak muhal me purv nirmit cc se nahar ki or cc road nirman kary],[914/zpm/nivida/2025-26 Date-06-09-2025][2025_UPPRD_1071937_2],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Se1ZDiuIjNbsYX8xIoiitcA%3D%3D,Panchayati Raj Department||Zila Panchayat Mahoba
