Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
15,2025_SE_47727_1,[Sale of Used Answer Scripts and Waste Paper 2025],26-Sep-2025 05:00 PM,SECONDARY EDUCATION DEPARTMENT ASSAM||Board of Secondary Education Assam,07-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBd1LowJPEldNtc%2BMBVZU1g%3D%3D
16,2025_HFWD_47241_1,[Group No 10],03-Sep-2025 02:00 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgKav%2FPC7qzOlYUxj3gbHVA%3D%3D
17,2025_DoWR_47593_1,"[Restoration of DRDA Bund of river Tihu  to protect village Batiya, Khairartari and Kawaimari No.G Block on its L/B.]",18-Sep-2025 06:55 PM,Department of Water Resources||Chief Engineer - DoWR,08-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SretSG82HTOcRHsMMCswjOw%3D%3D
18,2025_GMC_47287_22,[Construction of Community Hall under Ward No-25],06-Sep-2025 05:30 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4358nDbOttrU73Z3fgznOA%3D%3D
19,2025_NHM_47034_1,[FOR ENGAGEMENT OF SUPER SPECIALTY HOSPITAL FOR CARRYING  OUT BONE MARROW TRANSPLANT IN CHILDREN BELOW THE AGE  OF 14 YEARS],28-Aug-2025 09:00 AM,National Health Mission||State Programme Management Unit - NHM,07-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHKawp%2FpIRpqx17Sm2T1Gjw%3D%3D
20,2025_TDEP_47562_1,[Renovation and Refurbishment work of CIVIL PHE Electrical HVAC and allied works in existing IWT office building at Ulubari Guwahati 7 to be transferred to AIWCL],17-Sep-2025 02:00 PM,Transport Department- Externally Funded Projects||Assam Inland Water Transport Development Society- World Bank Tenders,15-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StYFZ%2B5xg4kpmhnwchWjaMg%3D%3D
21,2025_PWHE_47099_1,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Golaghat District Territorial Building Division for i. Murphulani High School. ii. Simanta Uccha Madhyamic Vidyalaya iii. Pili Borah Haldhibari HE],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmR26KaJhr17l2g5k%2FnOOyw%3D%3D
22,2025_PWHE_47570_1,[Package_54 Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Kokrajhar Dist. And Chirang DTBD for i. No. 486 Padmabil LPS],18-Sep-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,21-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SO%2B3fk%2Bng2ODutgz5KNWaLQ%3D%3D
23,2025_PWD_47585_6,[ASOM_MALA_3.0_25_26_12 Improvement and Upgradation of Road From SKF Point(Tinsukia Town ) to Madhubon Tinali Road via Deohal Tinali From Ch-4.400K.m(Chototingrai) to Ch-14.400(Bordubi) under Asom Mala 3.0 for the year of 2025-26 ],18-Sep-2025 06:30 PM,Public Works Roads Department,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJOhaAtY2UXTxiQTtKBgT6A%3D%3D
24,2025_GMC_47288_10,[Construction of Toilet under Ward No.41],05-Sep-2025 06:00 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SC5dWrf3rl69aZ9D9LDauXA%3D%3D
