Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
129,2025_PWHE_47092_1,12,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under South Kamrup TBD for i. Boko Girls H.S. ii. Hahim High School iii. Gohalkona H.S.],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BmuBDaowgt30eRzp%2BjEU1Q%3D%3D
130,2025_PWHE_47099_1,12,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Golaghat District Territorial Building Division for i. Murphulani High School. ii. Simanta Uccha Madhyamic Vidyalaya iii. Pili Borah Haldhibari HE],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmR26KaJhr17l2g5k%2FnOOyw%3D%3D
131,2025_PWHE_47098_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Baithalangso TBD for i. Amguri High School ii. Model School Dalimbari iii. Rangsina High School iv. Adarsha Rastra Bhasa High School v. Lamsakhang],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sckg3CmFUmR%2FOI0ps2y7yXA%3D%3D
132,2025_PWHE_47097_1,13,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Jorhat District Territorial Building Division, Jorhat for i. Pub Karanga ME School]",29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgtLW1X9SFTNSTzKMgnbtfQ%3D%3D
133,2025_PWHE_47096_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Karbi Anglong DTBD for i. Kisan Hindi High School. ii. Kuli Gaon M.E. School iii. Sarjeng M.E. School iv. Loringthepi M.E. School],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXkfi4AhVz6kekWl5w6brzw%3D%3D
134,2025_PWHE_47095_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Karbi Anglong DTBD for i. Panditghat High School ii. Ok-Kereng High School iii. Dhansiri High School iv. Inglongkiri High School v. Langsoliet Hig],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S3pHc%2BzfJjMCHBPlMT7fxQg%3D%3D
135,2025_PWHE_47094_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Karbi Anglong DTBD for i. Dilai High School. ii. Hidipi High School iii. Hollokhuwa High School iv. Silonijan High School v. Phonglokpet High Scho],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sq5umor%2BwE7Q8eGyWox8tkA%3D%3D
136,2025_PWHE_47089_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under South Kamrup TBD for i. Lampara Anchalik H.S. ii. Chatabari Anchalik High School iii. Muduki Anchalik Janajatiya H.S. iv. Jambari Anchalik High Sc],29-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,04-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6EFDlEbkz9xmNRiI9mifWQ%3D%3D
137,2025_SEEDE_47068_1,13,[Equipment for Robot/Cobot],29-Aug-2025 11:00 AM,Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,08-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S70mdxJydLB044wwqJBSHPg%3D%3D
138,2025_PWHE_47077_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well Being Project (ASAP) under Sribhumi DTBD for i. Lakshmi Bazar High School ii. Swami Vivekananda High School iii. Cherangi Vidapith High School iv. SKFJ High School Erstwhile],28-Aug-2025 04:45 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SW5kUMDBkmIerRt6MKxIRkA%3D%3D
