Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1224,2025_WASHI_1219941_1,[ESTIMATE FOR PROVIDING FUNCTIONAL TAP CONNECTION AT WAI TQ WASHIM DIST WASHIM],18-Sep-2025 06:40 PM,RDD-CEO-WASHIM||WASHIM-Dy. CEO V.P.||WASHIM||WAIE,02-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsfTvH%2FHuvrFR%2B2ZWvwcasw%3D%3D
1225,2025_PMCP_1219991_1,[Prabhag Kr.29 Madhye Nagrikanchya Surakshechya Drushtine CCTV Camera Basavine.(Vidhyut)],29-Sep-2025 09:00 AM,Pune Municipal Corporation||DMC ZONE-5 Office,08-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4B%2Br6Vt8QJtg%2BD4BWfWARg%3D%3D
1226,2025_RDPUN_1221014_52,"[52. Construction of Road  At Lakadi From  Baramati Road to Zilla Parishad School , Tal-Indapur, Dist- Pune.]",25-Sep-2025 12:00 PM,RDD-CEO-PUNE||PUNE-WORKS DIV.,03-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4e40Ep7xO%2FCAMlHJUwAWSQ%3D%3D
1227,2025_MHADA_1220792_39,"[Concretikaran work Near Ellora Society, Marol Maroshi Road, Andheri (E)]",23-Sep-2025 09:00 AM,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SU8GiFDE40f7IKHXcgVciaw%3D%3D
1228,2025_NMMC_1216503_7,[Nerul Sec.19A Navadurga Society To Safal Society Opposite road and Nerul Sec.21 MTNL and Vighnahar opposite road],09-Sep-2025 03:00 PM,Navi Mumbai Municipal Corporation||Estate Department,30-Sep-2025 03:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SILHKj84fnUXU8tvpnMzgyQ%3D%3D
1229,2025_PWDRP_1221013_6,[26-6 - Ward No. 30 - Installing a drainage line at Attar Vitbhatti Jam Chaal at Pune.],23-Sep-2025 09:00 AM,Public Works Region-Pune||Public Works Circle-Pune||Public Works Division-Pune,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuPUnAlDDLxib3ujS8MyGRA%3D%3D
1230,2025_MHADA_1223255_11,"[P/F Paver Block and Beautification Work Near Divine Heights Society, Nanepada, Mulund (E)]",29-Sep-2025 10:00 AM,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,06-Oct-2025 06:15 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STDYuPWQ0LFYiWbSW1FnXHA%3D%3D
1231,2025_PMCP_1219986_1,[Prabhag Kr.29 Madhye Dattawadi Parvati Darshan Parvati Gaon Lakshminagar Parisarat Concritikaran V Etar Tadnushangik Kame Karne.(Path)],29-Sep-2025 09:00 AM,Pune Municipal Corporation||DMC ZONE-5 Office,08-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOc5Am4tdG6cEa5PflZmwsw%3D%3D
1232,2025_MMGSY_1222898_1,[ ADB-(II)-AMR-BR-08],29-Sep-2025 12:00 PM,CE RDD MMGSY||SE Amaravati||EE Amaravati,15-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sylcc%2BblQok88F94Mbdfsew%3D%3D
1233,2025_ADF_1219263_1,[ selling of scrap machineries / material at Chilling Centers Phaltan Dist-Satara],18-Sep-2025 09:00 AM,"Dairy Development Dept.||Regional Dairy Development Office, Pune",30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWMMJB9w102mplGm%2BGkfkpQ%3D%3D
