Serial Number,Title,Organisation,Closing Date,Details URL,Tender ID,Organisation Chain,Tender Reference Number,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,Number Of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1,"[For Appointment of Agency for the Advertisement on Electricity Poles of	 Kanpur Electricity Supply Ltd. (KESCo), Kanpur]",Kanpur Electricity Supply Company Limited,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5KtPsnIUO9toOCwn%2F%2FixtA%3D%3D,2023_KESCO_795802_1,Kanpur Electricity Supply Company Limited,03/23-24,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No
2,[For Appointment of Agency for the Advertisement on designated spaces at 33/11kV Substations],Kanpur Electricity Supply Company Limited,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SJA25wlzdOmMsPPo61cCkIg%3D%3D,2023_KESCO_795832_1,Kanpur Electricity Supply Company Limited,04/23-24,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No
3,[12/2023-24/EUDC-I/GZB],Paschimanchal Vidyut Vitran Nigam Ltd.,24-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5%2FdxLlrO%2FZmNyyHeU%2Fviuw%3D%3D,2023_PVVNL_815008_3,Paschimanchal Vidyut Vitran Nigam Ltd.,12/2023-24/EUDC-I/GZB,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No
4,[13/2023-24/EUDC-I/GZB],Paschimanchal Vidyut Vitran Nigam Ltd.,24-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SU%2FgSu%2F2s0nMpO2MWMw4l8w%3D%3D,2023_PVVNL_815021_3,Paschimanchal Vidyut Vitran Nigam Ltd.,13/2023-24/EUDC-I/GZB,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No
5,"[Work of auction of pond ash from ash dyke situated at village Chakari of Obra TPS, Obra, Sonebhadra.]",UP Rajya Vidyut Utpadan Nigam Ltd||Obra Thermal Power Project- UPRVUNL- Sonebhadra,15-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SOfFvSwsTQoG99aAl2zQ2Jw%3D%3D,2023_RVUNL_798598_1,UP Rajya Vidyut Utpadan Nigam Ltd||Obra Thermal Power Project- UPRVUNL- Sonebhadra,01 /SE(CMC-II) /CMD-VI/2023-24,Yes,Open Tender,Fixed-rate,Works,2,No,No,Offline,No,No,No
6,[ 	CMR TRANSPORTITION WORK FROM SANJAY RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA],Department of Food and Civil Supplies||Office of Regional Food Controller Chitrakoot,08-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Slc8Om0gOlQCPbruTUqPWHQ%3D%3D,2024_DOFCS_958381_5,Department of Food and Civil Supplies||Office of Regional Food Controller Chitrakoot,CMR TRANSPORTITION WORK FROM SANJAY RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No
7,[CMR TRANSPORTITION WORK FROM KRISHNAM AGRO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA],Department of Food and Civil Supplies||Office of Regional Food Controller Chitrakoot,08-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SAHODvP3ql1dIbPrHto4%2Bew%3D%3D,2024_DOFCS_958387_8,Department of Food and Civil Supplies||Office of Regional Food Controller Chitrakoot,CMR TRANSPORTITION WORK FROM KRISHNAM AGRO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No
