Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
64,2025_MC_24561_1,[Improvement and beautification by laying pavers for road widening area outside STP to Shekhar Kanekar house Raghupushp Residency Vasu Kunkalienkar house Ashok Kanekar House Ajit Kanekar house Devdutt Budkule house Rupesh Salelkar house Govekar],17-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District North Goa||Sankhali Municipal Council||Technical  Section,02-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZy%2BkZFTOvYfy75RPiZFBEg%3D%3D
65,2025_ED_24581_1,[The work of supply erection testing and commissioning of light fixtures Audio visual HVAC equipments and renovation of electrical wiring for the office of the Chief Electrical Engineer Right wing at 5th floor Vidyut Bhavan Panaji],16-Sep-2025 12:10 PM,"ELECTRICITY DEPARTMENT||CIRCLE - II (NORTH)||DIVISION -  I, Panaji",02-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Siwq6KqkgzJlpyLiiJJD1yQ%3D%3D
66,2025_WRD_24730_1,[Urgent replacement of the FRP coated bandhara pannels at Casarvarnem Bandara in Pernem Taluka.],23-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I,01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUuBj0P%2BGkE76fQDo%2F%2BYnHA%3D%3D
67,2025_ESG_24677_1,[Appointment of Agency for the work of Supply and  Erection of infrastructure on hire basis for proposed Open Air Screening at various venues for 56th IFFI 2025],19-Sep-2025 06:00 PM,ENTERTAINMENT SOCIETY OF GOA||TECHNICAL,03-Oct-2025 02:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S48oQVQldTmPsrAFpttLFGA%3D%3D
68,2025_MC_24528_1,[Proposed construction of stage store room toilet room and  pathway in  open space on Land bearing Survey no.63 1H situated at village Harvalem  Taluka Bicholim for Sankhali Municipal Council],17-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District North Goa||Sankhali Municipal Council||Technical  Section,02-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7%2BHlMNwu0y8eXMOvkw0b0Q%3D%3D
69,2025_ED_24161_1,"[Supply, Installation, Testing and Commissioning of 20 Position Fully Automatic Energy Meter Testing Equipment with 0.02 Accuracy Class Reference Three Phase Meter for Sub Division -III, Mapusa and  Sub Division -IV, Ponda of Division-VIII(MRT)]",18-Aug-2025 11:00 AM,ELECTRICITY DEPARTMENT||DIVISION - VIII (MRT),03-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfNDE5aO1ZqLjZKR8QEEv6A%3D%3D
70,2025_MC_24532_1,[Improvement of road widening area on both sides of road from Chaitanya Hospital to Near Daya Damble House in Vasant Nagar SMC in Ward No 02],17-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District North Goa||Sankhali Municipal Council||Technical  Section,02-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqtZgo%2F9J0d3d1fwvfPj8Cw%3D%3D
71,2025_PWD_24578_1,[Dismantling and clearing of old R.C.C Akhada foot-bridge in V.P St.Estevam in Cumbharjua Constituency.],15-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - III-Panaji||DIVISION - II- Panaji,06-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgSduwCITUinuctOAiobPpQ%3D%3D
72,2025_ED_24770_1,"[Tender for the work of enhancement of 63KVA to 200KVA Kudshe Tisk Transformer for arranging power supply to 3Ph LTC Extension to Bharat Sanchar Nigam Limited For Load of 7.3KW Kudshe, V.P. Savordem Sattari, Valpoi, Goa.]",24-Sep-2025 06:15 PM,"ELECTRICITY DEPARTMENT||CIRCLE - II (NORTH)||DIVISION -  V, Bicholim",01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1XSUVY6ZnshwvdAGt%2B3JDw%3D%3D
73,2025_ED_24521_1,[The work of erection of 100 KVA transformer  for releasing new Connection to Material Recovery Facility MRF Shed  Carambolim Goa as per request of  Village Panchayat Carambolim.],15-Sep-2025 10:00 AM,"ELECTRICITY DEPARTMENT||CIRCLE - II (NORTH)||DIVISION -  I, Panaji",01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSxD%2FFzj9TdvOESWPo8b%2FAA%3D%3D
