Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
14,2025_LSGD_803575_11,[CHERTHALA MUNICIPALITY-RENOVATION OF KUNNATHU ROAD WARD-9],29-Sep-2025 11:00 AM,Local Self Government Department||Alappuzha||Municipal Engineers office Alappuzha||Municipal Engineer Cherthala Municipality,07-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGhpAn%2FWvdkvGiWXyx026nw%3D%3D
15,2025_DP_801259_1,[Mukalayyath -Fousiya manzil Road concreting ward 8],25-Sep-2025 03:00 PM,Directorate of Panchayat||Deputy Director of Panchayat Kollam||Sooranad North Gramapanchayat,06-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1E3d7GDFqzn3RWTLgLUkzg%3D%3D
16,2025_LSGD_800883_9,"[ Annual Plan- PROJECT NO - 155/2025-26 COMPLETION OF SGSY BUILDING IN  VANDIPERIYAR GP , AZHUTHA BLOCK]",26-Sep-2025 10:00 AM,Local Self Government Department||Idukki||Block Panchayath Sub Division Office IDK||O/O Asst. Exec Engg Azhutha/ Peerumedu Block Pchyt,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Si0FShBhGiwVyqUaOWYo9Mw%3D%3D
17,2025_LSGD_803340_5,[Annual Plan-Annual plan-Valiya paramb Road side concrete-Proj.No 569/25-side concrete- General Civil Work],29-Sep-2025 09:00 AM,Local Self Government Department||Malappuram||Municipal Engineers office Malappuram||Municipal Engineer Thiroorangadi Municipality,09-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjvgC84BPJvv6XP6KtXS0KA%3D%3D
18,2025_LSGD_793465_2,[Annual Plan- 2025- 2026 Project No 213 Madathikara road railway station road to Madathikara Junction Road renovation chalampadam transformer Junction to Chalampadam Don bosco road Junction renovation-ward 17-General Civil Wor],23-Sep-2025 05:00 PM,Local Self Government Department||Thrissur||Municipal Engineers office TRCHR||Municipal Engineer Irinjalakkuda Municipality,03-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StiEhn098b6Po%2F%2FpZaZL5TA%3D%3D
19,2025_LSGD_803458_4,[2025-26 Eriyad GP Construction of sideprotection intermediate thods PRO NO  355/25],29-Sep-2025 03:00 PM,Local Self Government Department||Thrissur||Grama Panchayath Section Office TRCHR||Office of the AE Eriyad Grama Panchayath,08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9IumMRZBF9XxerU6hWityw%3D%3D
20,2025_SKF_802157_1,"[Supply and Installation of Bio Incinerator at Sports Division Hostel, Kannur ]",25-Sep-2025 03:20 PM,Sports Kerala Foundation,04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0GbpZdsFej0BGpBYd%2BoMMw%3D%3D
21,2025_LSGD_782638_10,[LRRP LRRP 2024 25 MANALUR LAC  Sl  No  0919 CMLRRP 2 0 Revised AS Sl  No 138   MECHERYPADY THOYAKKAVU ROAD MAINTENANCE  VENKITANGU GP  MULLASSERY BP  THRISSUR],27-Sep-2025 03:00 PM,Local Self Government Department||Thrissur||Grama Panchayath Section Office TRCHR||Office of the AE Venkidangu Grama Panchayath,06-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SriUD9HSSUU5ldU3nt5xu2g%3D%3D
22,2025_LSGD_791198_8,[ LRRP 2024 25 Changanassery LAC Sl No 1573 Cheeranchira School Jn  Puthuchira  road in VAZHAPPALLY GP  MADAPPALLY BP Kottayam district General Civil Work],22-Sep-2025 06:00 PM,Local Self Government Department||Kottayam||Block Panchayath Sub Division Office KTYM||O/O Asst. Exec Engg Madappally Block Panchayath,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScnLqRIK1Iui0MmdEsZ9R5Q%3D%3D
23,2025_LSGD_802105_16,[ Annual Plan-Thiruvalla Municipality 2025-26 Retarring of Krishnavilasam  kaviyoorpuncha Road Ward 7 Pro No 344/26],26-Sep-2025 06:00 PM,Local Self Government Department||Pathanamthitta||Municipal Engineers office Pathanamthitta||Municipal Engineer Thiruvalla Municipality,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFJHs8RZ4gLaiGeD6okyvuw%3D%3D
