Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
492,2025_KSEB_794174_1,49,[Supply of 9kV 10kA (station class 2) composite polymer LA],03-Sep-2025 03:00 PM,Kerala State Electricity Board||Supply Chain Management,08-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SW4cOrjtseRa9t9JzmdKVyA%3D%3D
493,2025_CUSAT_772301_2,49,"[Supply, installation, testing, and commissioning of 10-Passenger LIFT in the Dept. of Instrumentation, CUSAT, Thrikkakara Campus]",03-Sep-2025 11:00 AM,Cochin University of Science and Technology,14-Oct-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sc8TN8vRk%2FmQut4D3innGLQ%3D%3D
494,2025_CUSAT_793551_1,49,"[THE SUPPLY, INSTALLATION, TESTING, AND COMMISSIONING OF A GPU BASED HIGH-PERFORMANCE COMPUTING NODE]",03-Sep-2025 11:00 AM,Cochin University of Science and Technology,17-Oct-2025 01:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoySJpnZXbmfYrn7rea%2BbJQ%3D%3D
495,2025_CUSAT_793673_1,49,"[Electrical work in connection with the re-location of the Department of Atmospheric Science to the 4th floor of  the  Budget  Studies  Building, CUSAT, Thrikkakara Campus]",03-Sep-2025 11:00 AM,Cochin University of Science and Technology,14-Oct-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STKUMaAxYyjNBvtPfu2hDnw%3D%3D
496,2025_HED_794012_1,49,[GENERAL-UCR in Alappuzha District-Elanjimel - Ambhalam Paddy Parepadi road in Ward no 11 of Puliyoour Gramapanchath in Chengannur LAC -General Civil Work],03-Sep-2025 09:00 AM,Harbour Engineering Department||Harbour Engineering||SE (Central Circle),29-Sep-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBrm0im2qa14dRRhZE0bUPQ%3D%3D
497,2025_AGRI_793337_1,49,[Thrissur Jilla Panchayath Project -Supply and installation of centrifugal motor pump sets for Kole /Non Kole Padashekarams ],02-Sep-2025 05:00 PM,Department of Agriculture||Directorate of Agriculture||Office of the Executive Engineer Kozhikkode||Assistant Excecutive Engineer(Agri) Thrissur,08-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVflNngGcHu6oWP1FdLX3rQ%3D%3D
498,2025_DP_793638_1,49,[Supply of materials for 28 works],02-Sep-2025 11:00 AM,Directorate of Panchayat||Deputy Director of Panchayat Thiruvananthapuram||Kollayil Grama Panchayath,30-Sep-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCZ%2BYGpT9QEggBLTyuT%2FPMg%3D%3D
499,2025_KWA_793598_1,49,[State Plan 2025-26 Supply and Laying of 90 mm PVC/HDP/GI],02-Sep-2025 10:00 AM,Kerala Water Authority||Chief Engineer Southern Region (Trivandrum)||Superintending Engineer (PH Circle Kottayam)||Executive Engineer (PH Division Kottayam),04-Oct-2025 11:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPOeBIQ9cN4dv%2F3ucVNmm4A%3D%3D
500,2025_KSEB_793128_1,49,[ Constructing 500 M HT line using covered conductor and erecting one  number 100 kVA Tr at Achuthanmukku under Electrical Section Chathannoor.],01-Sep-2025 06:00 PM,Kerala State Electricity Board||Chief Engineer (Distribution South)||Dpty Chief Engg Electrical Circle Kollam,03-Oct-2025 12:30 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAkrZ6oLsgkcbPFJum3qQ%2Bw%3D%3D
501,2025_KSEB_793132_1,50,"[Interlinking Ithikkara, Spinning mill feeders by constructing 1Km HT line  (Boothanatha to Block Tr) under Electrical Section Chathannoor.]",01-Sep-2025 06:00 PM,Kerala State Electricity Board||Chief Engineer (Distribution South)||Dpty Chief Engg Electrical Circle Kollam,03-Oct-2025 01:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScFzYT7JSqiN%2Bp%2BgVBFDxPA%3D%3D
502,2025_KSEB_789215_1,50,[HT Interlinking NSS Tr. to Thottavaram using Covered Conductor under ES Chathannoor],01-Sep-2025 06:00 PM,Kerala State Electricity Board||Chief Engineer (Distribution South)||Dpty Chief Engg Electrical Circle Kollam,03-Oct-2025 12:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYnmR9UjaWl1sJyHexKmq1g%3D%3D
503,2025_KSEB_793118_1,50,[Supply of 11kV Indoor VCB 10 Panel set with spares and individual panels],01-Sep-2025 05:00 PM,Kerala State Electricity Board||Supply Chain Management,16-Oct-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlswylgklbfV2YmHbbU4HoQ%3D%3D
504,2025_DHS_792783_1,50,"[Tender for female security staff,Trolley puller and Door staff]",01-Sep-2025 12:00 PM,Directorate of Health Services||District Medical Officer Ernakulam||General Hospital Ernakulam,04-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmcbOeMq%2B9RI%2FaN25rFF2zA%3D%3D
505,2025_KSEB_790905_1,50,[Supply of  a new Oil Forced Water Cooler for the Power Transformer],01-Sep-2025 09:00 AM,Kerala State Electricity Board||Chief Engineer Generation Moolamattom||Deputy Chief Engineer- Generation Circle,14-Oct-2025 04:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZhWc8OBxJWqv2VCMVQVRAw%3D%3D
506,2025_CUSAT_791250_1,50,[Electrode deposition system],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,13-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJZjyqIQcASTM44FslAXaQQ%3D%3D
507,2025_CUSAT_791337_1,50,[Supply of Gravimeter and GNSS System],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,22-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxwVinb30R%2BXlJr%2FJYXXC%2FA%3D%3D
508,2025_CUSAT_791556_1,50,[CHNS elemental analyser],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,07-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SB3f9pQcnok3Y4gdT0eEEqA%3D%3D
509,2025_CUSAT_789420_1,50,[Ultra Low Temperature Reactor Set up (-80 degree Celsius)],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,13-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2E053bjhDhP3IJ8nVqalsg%3D%3D
510,2025_CUSAT_791882_1,50,[Supply and Installation of Robot Arm Development Platform],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,13-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7woh9sF6D4rSUiJiayyJ0A%3D%3D
511,2025_CUSAT_791502_1,51,[Micro cutting machine (Microtome)],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,07-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAdLobGGJ2ZEJIwRGvv5jVQ%3D%3D
512,2025_CUSAT_788756_1,51,[Atomic Layer Deposition (ALD) System],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,13-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNiaE%2FtqJo1mI9MBu1eFcyA%3D%3D
513,2025_CUSAT_789625_1,51,[Software Defined Radio (SDR) and Accessories],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,18-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0dgZl8S0TyTGZp%2FJTzRLyQ%3D%3D
514,2025_CUSAT_791751_1,51,[Supply and Installation of Microbalance ],30-Aug-2025 11:00 AM,Cochin University of Science and Technology,17-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6X5bp6vsKQlkGxFMWgENSw%3D%3D
515,2025_KSEB_791130_1,51,"[Upgradation of 66kV Substation, Alappuzha to 110kV level  110kV                              double bus stringing, earthwire stringing, balance equipment                              erection, interconnection and earthing of equipmt and yard         ]",30-Aug-2025 11:00 AM,Kerala State Electricity Board||Chief Engineer - Transmission South||Dpty Chief Engg Trans Circle Alappuzha||EE Trans Div Alappuzha||AEE Transmission Sub Division Alappuzha,30-Sep-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBkLKUrWM9mqCBwNJ2BGjVA%3D%3D
516,2025_CUSAT_792407_1,51,[Supply and Installation of Rotary Shaker and accessories],30-Aug-2025 10:00 AM,Cochin University of Science and Technology,15-Oct-2025 04:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJGQ4Kz3zWfX5k2bxUatwcQ%3D%3D
517,2025_CUSAT_791932_1,51,[Supply and Installation of Rotary evaporator and accessories],30-Aug-2025 10:00 AM,Cochin University of Science and Technology,15-Oct-2025 04:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S54P7NaIc4DoyeB2jfwc1Fw%3D%3D
518,2025_CUSAT_790880_1,51,[High Pressure Homogenizer],30-Aug-2025 10:00 AM,Cochin University of Science and Technology,15-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvO9f8WPn7iBnmEisiwkhCA%3D%3D
519,2025_CUSAT_792374_1,51,[Supply and Installation of Liquid Chromatography system and accessories],30-Aug-2025 10:00 AM,Cochin University of Science and Technology,15-Oct-2025 04:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQzfnbOFp1AflAOz0YVHoHQ%3D%3D
520,2025_CKCL_791840_1,51,[The total sanitary waste management for Malappuram cluster having districts Thrissur Malappuram and Palakkad],30-Aug-2025 09:00 AM,Clean Kerala Company Ltd,04-Oct-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoREKSKISQaj1xQ3RqQHD5Q%3D%3D
521,2025_CKCL_791849_1,52,"[The total sanitary waste management for Kannur cluster having districts Kozhikode, Kannur, Wayanad and Kasargod.]",30-Aug-2025 09:00 AM,Clean Kerala Company Ltd,04-Oct-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpYJQVm7wavY%2FO23sSH%2BaDA%3D%3D
522,2025_CKCL_791826_1,52,"[The total sanitary waste management for Alappuzha cluster having districts Alappuzha, Ernakulam, Kottayam and Idukki ]",30-Aug-2025 09:00 AM,Clean Kerala Company Ltd,04-Oct-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sw2X5%2F0r6T%2FpICaCdhqPYqg%3D%3D
523,2025_CKCL_791139_1,52,[The total sanitary waste management for Kollam cluster having districts Thiruvananthapuram Kollam and Pathanamthitta ],30-Aug-2025 09:00 AM,Clean Kerala Company Ltd,04-Oct-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SueazdnJ5Syo9cd7wJDZAuQ%3D%3D
524,2025_KSEB_791251_1,52,[Turnkey EPC Contract for Substation Package GIS7 Construction of 400kV GIS Substation at Edamon and associated Works],29-Aug-2025 06:00 PM,Kerala State Electricity Board||Chief Engineer -Transgrid -Shoranur,28-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScWmz%2BALbUjtQqP%2BlAmhMkQ%3D%3D
525,2025_KSFE_792622_1,52,[AMC for Computers and Peripherals],29-Aug-2025 05:15 PM,Kerala State Financial Enterprises Ltd,04-Oct-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1u%2FmkHcs5yZ2XyZG6btQPQ%3D%3D
526,2025_DME_791696_1,52,[Purchase of EBUS TBNA needle 22G  to the Department of  Pulmonary Medicine],29-Aug-2025 05:00 PM,Directorate of Medical Education||Govt. Medical College Thrissur,06-Oct-2025 02:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCXKSo4FvZt1jmQqD%2Fk4D9w%3D%3D
527,2025_DME_791758_1,52,[Purchase of  Indwelling Pleural  Catheter to Pulmonary Medicine Department],29-Aug-2025 05:00 PM,Directorate of Medical Education||Govt. Medical College Thrissur,06-Oct-2025 02:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuzAGeQzDQWYoF%2BgoqImXUg%3D%3D
528,2025_KSEDC_792285_1,52,[Expression of Interest (EOI) for  Selection of  System Integrator for  Executing Video Surveillance System Projects In Various Railway Zones],29-Aug-2025 04:30 PM,Kerala State Electronics Development Corp Ltd||Keltron Equipment Complex,06-Oct-2025 06:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoVaHbluI5HMi%2FIfvdvQbbQ%3D%3D
529,2025_KSEDC_792549_1,52,[Supply of Laptop computers],29-Aug-2025 04:15 PM,Kerala State Electronics Development Corp Ltd||IT Business Group (ITBG)||Purchase,30-Sep-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S92FBMV3P0PikEW%2BH6LuLPg%3D%3D
530,2025_KMRL_792353_1,52,"[Design, Manufacture,Supply, Installation, Testing, and  Commissioning of Telecommunication System for Phase-II of  Kochi Metro Rail Project.]",29-Aug-2025 02:30 PM,Kochi Metro Rail Ltd,15-Oct-2025 03:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=So4MfbqNARkKTCXwTtnhLRw%3D%3D
531,2025_KSEDC_792549_1,53,[Supply of Laptop computers],29-Aug-2025 04:15 PM,Kerala State Electronics Development Corp Ltd||IT Business Group (ITBG)||Purchase,30-Sep-2025 05:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S92FBMV3P0PikEW%2BH6LuLPg%3D%3D
