Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
84,2025_DOSD_65525_1,"[Selection of Event Management Agencies /Companies for organizing the Franchise Opening of Brands and  Business Opportunity Workshop in Agartala, Tripura]",10-Sep-2025 06:00 PM,Directorate of Skill Development,09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B%2FcckvExKU5URQE5RYo5ug%3D%3D
85,2025_TIDC_64970_1,[RFP for Hiring of Agency for Establishment of Tripura Enterprise Development Hub under RAMP],25-Aug-2025 05:30 PM,Ministry of Industries and Commerce||Directorate of Industries and Commerce,08-Oct-2025 02:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSnLpocmbH0B9TSFXvBKFQA%3D%3D
86,2025_OSDDS_65506_1,"[Construction of Fencing with welded steel wire in the proposed  Garden at Bani Vidyapith, Agartala during the year 2025-26]",10-Sep-2025 03:00 PM,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzQpAenxXSD4se6SjEDXfYg%3D%3D
87,2025_CEPWD_66028_1,"[Maintenance of Non Residential Building during the year 2025_26_SH_Maintenance of Sub-Division office at Matripally, Badharghat in terms of floor tiles, paintings, sanitary, paver block and others petty maintenance]",27-Sep-2025 04:00 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Bishalgarh Division",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkEAvOLfNnNKxC%2FKnPcBeqg%3D%3D
88,2025_CERDD_65894_1,"[Construction of water storage tank with community washing and bathing facility with pipeline at Golaghati Bazar of Golaghati GP under Bishalgarh RD Block, Sepahijala during the year 2025-26 (PWD SoR 2023).]",23-Sep-2025 03:00 PM,"Chief Engineer,  Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-2",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMkAVZ%2Fn%2B0YXPgDVzFIe6Hw%3D%3D
89,2025_CEPWD_65874_1,"[Replacement of Bailey Bridge by RCC double cell box culvert (8.00m x 7.00m, Carriageway width 7.50m without footpath) at Barahaldi Ch. 9.70 Km on the road from Kanchanpur to Dasda road under Dasda Sub-Division, PWD(RnB) during the year 2025-26/ SH-Ea]",23-Sep-2025 06:00 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), First Circle||EE PWD (R and B) Kanchanpur Division",13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgDSw8JhEblHRnmmnAdk0lQ%3D%3D
90,2025_CERDD_65889_1,"[Vertical extension of Kalyanpur Community Health Center	under	RD Teliamura	Division, Khowai District as per (PWD SoR-2023) during the FY- 2025- 26.]",23-Sep-2025 03:30 PM,"Chief Engineer,  Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",14-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Spx4179i%2BycxEkP99nidBNg%3D%3D
91,2025_OSDDS_65581_1,[Major Repairing of 3 (Three) nos. PM SHRI Schools under Kumarghat and Pecharthal Block of Unakoti District under PM SHRI Scheme for the year 2023-24 and 2024-25],11-Sep-2025 06:55 PM,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,02-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SreLcekV4iEdeDyO4RCmiDQ%3D%3D
92,2025_OSD_65863_1,[Procurement of 01 number of Portable Ultrasound machine for use in the Department of Plastic Surgery AGMC and GBP Hospital Agartala West Tripura],22-Sep-2025 05:20 PM,Director of Health Services||Medical Supt. - AGMC and GBP Hospital||OSD - AGMC and GBP Hospital,13-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Skgj6j8PpWdM0w1RXEzGWmw%3D%3D
93,2025_CEPWD_66026_1,[Mtc of different PWD road from (i) Belabar Loknath chowmuhani to Shantikusum kalibari road (L_0 point 20 Km) (ii) Rajib chowmuhani to Charipara panchayat GP via Sachindralal Bazar (L_1 point 50 Km)],27-Sep-2025 04:00 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Bishalgarh Division",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sjalb5U%2BzILMPZxcDrLe9qA%3D%3D
