Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
15,2025_BEL_98163_1,[Renovation of Toilets at Assembly/Production building at BEL - CHN],19-Sep-2025 06:00 PM,Bharat Electronics Limited||Chennai Unit - BEL||Contracts-Chennai - BEL,04-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8XjIaar0l6knr7E9YsztGQ%3D%3D
16,2025_BEL_98148_1,[Renting out proposed Shed No.B-05 in Industrial Estate.],18-Sep-2025 10:30 AM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,04-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOttvVM1xLDmBP%2B%2BPxRhWCg%3D%3D
17,2025_BEL_98223_1,[Additional Infrastructure Development with Ancillary Services at HAL Facility Bangalore and Nashik Division],27-Sep-2025 02:00 PM,Bharat Electronics Limited||Gaziabad Unit - BEL||NCS - BEL,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SekmCzdBq75VcUxy1FVjzIw%3D%3D
18,2025_BEL_98174_1,[Proposed painting and  concertina coil repair works on compound wall at ANVPF at Nimmaluru.],22-Sep-2025 11:00 AM,Bharat Electronics Limited||Machilipatnam Unit - BEL||Contracts-Machilipatnam - BEL,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9aJ7Bt7qQCIcvdCbo42aaA%3D%3D
19,2025_BEL_98089_1,"[ Providing Mammography Machine and Execution of associated Basic Turnkey work at Govt. Base Hospital, Kotdwara ]",08-Sep-2025 03:00 PM,Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,29-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfrDuvrxHWX2Zog7XpU%2F7Aw%3D%3D
20,2025_BEL_98104_1,"[Re-construction of Compound Wall at PSC Kalamassery, Kochi.]",10-Sep-2025 03:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,06-Oct-2025 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOT9eF1z9TvllQ33F%2BW7keg%3D%3D
21,2025_BEL_98140_1,"[Proposed Building for NMDA in IMAC Complex at Gurugram, New Delhi.]",17-Sep-2025 11:00 AM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,06-Oct-2025 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrDn%2Fy16F50BiUgn5axSyqw%3D%3D
22,2025_BEL_98196_1,[PAN INDIA FTL ROAD TRANSPORT CONTRACT-2025],24-Sep-2025 12:30 PM,Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,06-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjEGZhKVNVpJPKKK%2Bp7WKdg%3D%3D
23,2025_BEL_98168_1,[Maintenance of BEL Transit Accommodation situated in Building No E1 and E2 at Sector 18 CIDCO Colony New Panvel],19-Sep-2025 05:45 PM,Bharat Electronics Limited||Navi Mumbai - BEL||Contracts-Navi Mumbai - BEL,29-Sep-2025 09:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoLzdNP4CTmiXzgDm1dwo2A%3D%3D
24,2025_BEL_98201_1,"[PROPOSED EARTH BUTT WITH EARTH TRAVERSE AND RETAINING   WALL AT TECH AREA TAKU, CPE, ITARSI FOR BE- PN]",25-Sep-2025 06:00 PM,Bharat Electronics Limited||Pune Unit - BEL||Contracts-Pune - BEL,06-Oct-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgmfkNpoLVlyOLJQKbjoczA%3D%3D
25,2025_BEL_98112_1,[Term Contract for carrying out Miscellaneous Civil Works in BEL Factory and Colony Pune for the Year 2025-26.],11-Sep-2025 06:00 PM,Bharat Electronics Limited||Pune Unit - BEL||Contracts-Pune - BEL,29-Sep-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwcK2YmQ2j2FDmhX2H5YF2A%3D%3D
26,2025_BEL_98190_1,[RENOVATION AND FACELIFT OF OLD BLOCK CRL GAD],26-Sep-2025 05:00 PM,Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL,06-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHXQwGUHrLZf8r%2B01Vzh5rQ%3D%3D
27,2025_BEL_98224_1,[Supply of Manpower for Watch and Ward Services on Contract basis for BEL Panchkula],27-Sep-2025 03:00 PM,Bharat Electronics Limited||Panchakula Unit - BEL||Contracts-Panchakula - BEL,13-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy%2FNZ4S3UtWyp5v7uqj1Ctg%3D%3D
28,2025_BEL_98198_1,[Expression of Interest for Vendor Empanelment in BEL],24-Sep-2025 02:40 PM,Bharat Electronics Limited||Bangalore Unit - BEL||Software||Purchase,06-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StCNGeb8IpHNWLW6vI1h74g%3D%3D
29,2025_BEL_98150_1,"[Construction of Transit Accommodation and Guest House at DSIC Palasamudram, BE-PS (Project-III).]",18-Sep-2025 03:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,29-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SErRNi%2FrBbqt9d25Cpzt35w%3D%3D
30,2025_BEL_98123_1,"[Procurement of Air Filter Element for Air Compressor Plant, BEL Bangalore]",13-Sep-2025 05:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SM%2BZRdvRPT4NLOY11BlCyCA%3D%3D
31,2025_BEL_98059_1,[SAN FOR INTRANET MAIL BACKUP],03-Sep-2025 12:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,07-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYUYza5M7dZCsJCyjQPusJA%3D%3D
