Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
121,2025_DJB_278777_4,[NIT No.13(2025-26) Item 4],25-Sep-2025 06:55 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-8,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdOt4pvFCy%2F1bsHIintRQLQ%3D%3D
122,2025_DJB_276914_1,"[Construction of 15 MGD Wastewater Treatment Plant at Zindpur, power generation and other associated / allied Appurtenant work with effluent standard of BOD-10mg/l, TSS-10mg/l or better on DBO basis and construction of 22 MGD WWPSs at Zindpura 9 MGD W]",15-Aug-2025 09:00 AM,Delhi Jal Board||Delhi Jal Board||EE(C) DR- III,15-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAlU6aTStf2Zt4jfNX8Oofg%3D%3D
123,2025_PWD_278817_1,"[Construction of Electrical Guard Room (Porta Cabin) under Motilal Nehru FOB and Maintenance of FOBs at various roads Under Sub Division-I, New Delhi.]",26-Sep-2025 05:00 PM,Public Works Department||CE/SE/M1-M11||EE/M113(New),04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ%2F%2FrL0RYkB8C5YlkZbvAFg%3D%3D
124,2025_PWD_278793_1,"[MOEI and Fans, RMO Pump Sets i/c compound light at D-II Flats, Vasant Kunj, New Delhi during the year 2025-26 ]",26-Sep-2025 12:20 PM,Public Works Department||CE/SE/M4-M45||EE/M453,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkDDCCMzykGyyvN%2BpecuU%2Fw%3D%3D
125,2025_DJB_278330_2,[Replacement of old and damaged sewer line at main road mandawali saket block to asha ram gali by bursting method in ward no -200 in Laxmi nagar in AC 58],18-Sep-2025 09:00 AM,Delhi Jal Board||Delhi Jal Board||EE (T) M-1,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJwSBN0G2OfMGSTZQ%2FQjB5w%3D%3D
126,2025_PWD_278879_1,"[AR and MO to residential building under Sub Division M-3221 during 2025-26 (SH Finishing work on outside wall from Qtr No. 857 to 904, 905 to 1228 and 1516 to 1576 Gulabi Bagh, Delhi-110007]",27-Sep-2025 04:15 PM,Public Works Department||CE/SE/M3-M32||EE/M322,04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SL%2FipzuAUPIhY6T0GfkPovg%3D%3D
127,2025_PWD_278729_1,"[ARMO various Electrical and Mechanical Services at Fire Safety Management Academy sector-14 Rohini, Delhi. SH- Comprehensive Maintenance of Greaves make 250 KVA DG set i/c AMF Panel]",25-Sep-2025 03:00 PM,Public Works Department||CE/SE/M2-M25||EE/M252,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKKntwVNQ%2BMIZ%2Ff2kS69FtQ%3D%3D
128,2025_DJB_278740_22,[NIT NO-10 ITEM NO-22],25-Sep-2025 06:55 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-5,01-Oct-2025 11:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So3gl32N1grhju46SszBRDQ%3D%3D
129,2025_DJB_278904_1,[NIT No.09(2025-26)EE(C)-26 Item No_01],27-Sep-2025 06:55 PM,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 26,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7h5gGzV2ozFk9Y7HP4qAbA%3D%3D
130,2025_DUSIB_278812_1,[Construction of Night Shelter (Revenue)],26-Sep-2025 05:00 PM,Delhi Urban Shelter Improvement Board||Engineering Department||SE-III||DD-VI,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SS6r7gXRBTziaDzZFPDuFpg%3D%3D
